ID	LABEL	Parent	IAO:0000115	IAO:0000119	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment	owl:deprecated	obo:IAO_0000233
obo:T4FS_0000523	access controls	access	Definitions of the access relationships between the following metadata: data object name, a user name (or user group, or user role), and access permission(s). The information can be stored as metadata information associated with each data object. The information can be generated dynamically by applying the access controls of the collection that organises the data objects (if a collection sticky bit is turned on). 	RDMT. https://terms.codata.org/rdmt/access-controls	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000209	access risk assessment and mitigation	information security	Obtain an overview of information access status for different stakeholder groups. Check this overview against the organizational information access policy and risk catalogue, identify the type of information security risks based on the mismatch between the current status and policy. Choose and implement the right protocal to mitigate the risk.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000377	access workflow	access	Type of access entity that contains the services and functions which make the data object holdings and their information content and related services visible to data consumers.	RDMT. https://terms.codata.org/rdmt/access-workflow	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000478	accessibility of digital assets	fair principle			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000316	accession number	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|identifier	Numbers used by the National Center for Biotechnology Information (NCBI) that are unique and citable.	Definition from now-deprecated CASRAI Glossary term: accession-number	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000356	advise and mentor	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|data stewardship activity	Management and provision of good data stewardship practice.	PMQ	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone	Advise and enable|Data Stewardship and FAIR mentorship activity|data management and open research					AL 9.3.22. Removed from 'FAIR4S defined activity' class to better integrate with the T4FS hierarchy.		
obo:T4FS_0000311	analytical quality control	data stewardship technical concept	Processes and procedures designed to ensure that the results of laboratory analysis are consistent, comparable, accurate and within specified limits of precision.	Definition from now-deprecated CASRAI Glossary term: analytical-quality-control	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000547	analytics	data stewardship technical concept	The discovery of meaningful multidimensional patterns in data.	Definition from now-deprecated CASRAI Glossary term: analytics	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000502	application of fair tools and services	using fair and open research tools or services							HughShanahan	2019-10-18T08:45:02.980527Z			
obo:T4FS_0000075	apply data access policy	access control and management	Define data access policy based on project requirements. Provide access to autorised parties.		Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000483	appreciate importance of crediting research contributions	research integrity, attribution, impact awareness	Understand how the rewards for effort depend on crediting the contributions of researchers and professional groups towards making FAIR outputs.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000240	appreciate importance of research integrity	research integrity, attribution, impact awareness	Take proactive approach to ensure outputs are made FAIR consistently with research integrity principles.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000380	appreciate security and usability trade-offs	information security	Be aware of the potential conflicts between security and usability. Understand the importance of having information security policy and keeping a balance between the information security and usability. Willing to establish both organization and technical information security measurements.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000398	appreciation of fair and open research	develop open research strategy and vision	Recognize the added value of FAIR and open research, encourage researchers to practise FAIR and open research.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000408	aptitudes associated with using fair tools and services	using fair and open research tools or services							HughShanahan	2019-10-18T08:56:32.673701Z			
obo:T4FS_0000125	aptitudes for authorisation management	authorisation management	Bin for Aptitudes related to Authorization management.		leightonlc								
obo:T4FS_0000338	aptitudes for change management	change management	Bin for Aptitudes related to Change management.		leightonlc								
obo:T4FS_0000448	aptitudes for cloud computing environment management	cloud computing environment management	Bin for Aptitudes related to Cloud computing environment management.		leightonlc								
obo:T4FS_0000230	aptitudes for data management costs management	data management costs management	Bin for Aptitudes related to Data management costs management.		leightonlc								
obo:T4FS_0000400	aptitudes for funding acquisition management	funding acquisition management	Bin for Aptitudes related to Funding acquisition management.		leightonlc								
obo:T4FS_0000277	aptitudes for high performance computing management	high performance computing management	Bin for Aptitudes related to High performance computing management.		leightonlc								
obo:T4FS_0000123	aptitudes for identity management	identity management	Bin for Aptitudes related to Identity management.		leightonlc								
obo:T4FS_0000477	aptitudes for preservation costs management	preservation costs management	Bin for Aptitudes related to Preservation costs management.		leightonlc								
obo:T4FS_0000062	aptitudes for provenance information management	provenance information management	Bin for Aptitudes related to Provenance information management.		leightonlc								
obo:T4FS_0000089	aptitudes for resource management	resource management	Bin for Aptitudes related to Resource management.		leightonlc								
obo:T4FS_0000348	aptitudes for service level management	service level management	Bin for Aptitudes related to Service level management.		leightonlc								
obo:T4FS_0000355	aptitudes for storage management	storage management	Bin for Aptitudes related to Storage management.		leightonlc								
obo:T4FS_0000023	aptitudes for workflow technologies management	workflow technologies management	Bin for Aptitudes related to Workflow technologies management.		leightonlc								
obo:T4FS_0000550	archival documentation of data	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|archiving	Ability to apply the FAIR principles i.e. describe the data with community metadata standard for machine and human, align with existing semantic models (ontologies, controlled vocabularies, ...), get a persistent ID, attribute licence and credit for data creators, legal aspect related to data (ownership, confidentiality, ethics, ...) add data provenance.	[YLF, VDA, KH]	https://orcid.org/0000-0002-7702-4495|Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000374	archival documentation of software	archiving	Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry [YLF, VDA, KH]		https://orcid.org/0000-0002-7702-4495|Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000149	archive	data stewardship technical concept	A place or collection containing static records, documents, or other materials for long-term preservation.	RDMT. https://terms.codata.org/rdmt/archive	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000156	archiving	data stewardship activity	A curation activity that ensures that data are properly selected, stored, and can be accessed, and for which logical and physical integrity are maintained over time, including security and authenticity.	RDMT. https://terms.codata.org/rdmt/archive-verb	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000288	assess fairness	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|assessment	Activity/Process whereby digital objects are evaluated with the relevant FAIR metrics and assessment tools.	[YLF, VDA, KH]	Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000126	assessment	data stewardship activity			https://orcid.org/0000-0002-7702-4495|Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang						AL 17.3.22: Updated to "Assessment" to match the style of its sibling classes. AL 3.22: Was "govern and assess", which is a compound concept. Split into two classes, Assess and Governance. Original source: FAIR4S defined activity.		
obo:T4FS_0000049	audit	assessment	Evaluation of an organisation, system, group, project or product with respect to its data and processes around this, often in accordance with a standard, guide, or framework used to structure the work. This can involve assessing, describing, and classifying any data held. An audit can be carried out internally by those who have access to the data or participate in related processes regularly, or by an independent, external actor. 	RDMT. https://terms.codata.org/rdmt/audit	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000270	authentication	information security	The process of confirming the identity of a principal entity.	Definition from now-deprecated CASRAI Glossary: authentication	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000219	authenticity metadata	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Type of metadata that conveys information needed to link a data object to its original source. 	RDMT. https://terms.codata.org/rdmt/authenticity-metadata	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000142	authorisation management	resource management	Authorization management is concerned with people's access to different objects, most often to data or physical objects, such as land, buildings, rooms or infrastructure.	https://managementmania.com/en/authorization-management	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel								
obo:T4FS_0000251	big data	data	Voluminous amount of structured, semi-structured and/or unstructured data that have the potential to be mined for information, primarily characterised by big volume, extensive variety, high velocity (creation and use), and/or variability that together require a scalable architecture for efficient data storage, manipulation, and analysis. The definition is evolving and can vary by sector, depending on what kind of software tools are commonly available and what sizes of datasets are common in a particular discipline. With those caveats, big data in many sectors today will range from a few dozen terabytes to multiple petabytes.	RDMT. https://terms.codata.org/rdmt/big-data	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000305	book	learning medium			https://orcid.org/0000-0003-2687-1982				https://orcid.org/0000-0003-2687-1982	2020-10-01T20:54:08.535183Z			
obo:T4FS_0000432	book chapter	book							https://orcid.org/0000-0003-2687-1982	2020-10-01T20:53:37.24517Z			
obo:T4FS_0000373	canonical data collection	data stewardship technical concept	Data collection that has been normalised by some established criteria to allow for effective data management. Examples include: data files that belong to a certain experiment, all files that are created by one specific simulation, all files that belong to a specific observation (same day, same place, etc.). 	RDMT. https://terms.codata.org/rdmt/canonical-data-collection	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000425	catalogue	data stewardship technical concept	A type of collection that describes, and points to features of another collection.	RDMT. https://terms.codata.org/rdmt/catalogue	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000070	cataloguing	curation	An intellectual process of describing objects in accordance with accepted library principles, particularly those of subject and classification order.	RDMT. https://terms.codata.org/rdmt/catalogue-verb	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000411	change management	resource management	Change management is a broad subject and can be applied to all different types of organizational change. The most common change drivers include:  technological evolution, process reviews, crisis, and consumer habit changes; pressure from new business entrants, acquisitions, mergers, and organizational restructuring.	https://www.hucmi.com/en/hcmbok/	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel	CM							
obo:T4FS_0000401	choosing the appropriate model or format for your data	('competency gained through' some ('learning medium' and ('supports implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation')))|fair evaluation of repositories for data deposition	To be able to choose the correct data model and/or exchange format for your data, based on the repository where you plan to deposit your data.	[PMQ]	https://orcid.org/0000-0003-2687-1982	Which data model to use|Which format to use							
obo:T4FS_0000011	choosing the appropriate reporting guideline for your data	('competency gained through' some ('learning medium' and ('supports implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation')))|('competency gained through' some ('learning medium' and ('supports implementation of' some 'I3. (meta)data include qualified references to other (meta)data')))|fair evaluation of repositories for data deposition	To be able to choose the appropriate reporting guideline/checklist for your data, based on community-adopted standards.	[PMQ]	https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000294	choosing the appropriate terminology for your data	fair evaluation of repositories for data deposition	To be able to research and identify the appropriate taxonomy for your project. This may involve using resources such as FAIRsharing, which captures metadata on taxonomies and provides an assessment of their FAIRness.	[PMQ]	https://orcid.org/0000-0003-2687-1982	Controlled Vocabulary identification|Ontology identification|Taxonomy identification|Thesaurus identification							
obo:T4FS_0000250	citable data	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|data	Standalone dataset that can be cited in a similar manner to other research outputs. The dataset appears in a data repository, data paper or project website, and has a Persistent Identifier. Most current referencing systems provide a format for citing datasets. 	RDMT. https://terms.codata.org/rdmt/citable-data	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000133	cite contributions	('competency gained through' some ('learning medium' and ('supports implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier')))|('competency gained through' some ('learning medium' and ('supports implementation of' some 'F3. metadata clearly and explicitly include the identifier of the data they describe')))|exposing data	Cite contributions to data work in published literature which draws upon that data.	[LM]	Laura Molloy|https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000271	cloud computing	data stewardship technical concept	Large-scale distributed computing paradigm that is driven by economies of scale, in which a pool of abstracted, virtualised, dynamically-scalable, managed computing power, storage, platforms and services are delivered on demand to external customers over the Internet. Key features are that: it is a specialised distributed computing paradigm; it is massively scalable; it can be encapsulated as an abstract entity that delivers different levels of services to customers outside the Cloud; it is driven by economies of scale; and the services can be dynamically configured (via virtualisation or other approaches) and delivered on demand. 	RDMT. https://terms.codata.org/rdmt/cloud-computing	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000479	cloud computing environment management	resource management	The activity of bringing computer system resources, especially data storage and computing power on demand via Internet.	(modified from wikipedia) [VDA]	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel								
obo:T4FS_0000146	cloud ecosystem	data stewardship technical concept	Ecosystem that includes software, infrastructure, consultants, integrators, partners, third parties and anything else in the specified environment that has a bearing on the other components. 	RDMT. https://terms.codata.org/rdmt/cloud-ecosystem	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000287	collection management identification	data stewardship technical concept	Type of data provenance indication that adds metadata to identify data collections. The organisation doing the collection management is stated in the metadata along with the provenance of collection management events such as source of data acquisition, conservation, and movement. 	RDMT. https://terms.codata.org/rdmt/collection-management-identification	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000528	comma separated values	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Values in a table presented as a series of ASCII text lines organised so that each column value is separated by a comma from the next column’s value and each row starts a new line. Along with pipe- and tab-separated values, comma-separated values are a specific example of a record-oriented data structure (usually of fixed dimension) with fields separated by an agreed delimiter. 	RDMT. https://terms.codata.org/rdmt/comma-separated-values	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	CSV					Maybe remove as shouldn't have formats here.		
obo:T4FS_0000249	community building	project management activities			https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone						AL 9.3.22: renamed to prevent compound term. Was 'Influencing/community building'		
obo:T4FS_0000475	computer code	data stewardship technical concept	A series of computer instructions written in some human readable computer language, usually stored in a text file.	Definition from now-deprecated CASRAI Glossary term: computer-code	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000079	conducting operations	project management activities			https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000552	confidential information	data stewardship technical concept	Any information obtained by a person on the understanding that they will not disclose it to others, or obtained in circumstances where it is expected that they will not disclose it.	Definition from now-deprecated CASRAI Glossary term: confidential-information	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000227	confidentiality	data stewardship technical concept	Duty and practice of ensuring that personal or sensitive information only flows from one entity to another according to legislated or otherwise broadly accepted norms and policies. This can be done by either restricting access to the data or certain variables in the data, and/or by protecting personal or sensitive information using an anonymisation method.	RDMT. https://terms.codata.org/rdmt/confidentiality	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000275	conformance	data stewardship technical concept	Satisfaction of the requirements of a specific standard(s) and/or specification(s). Conformance is used with respect to voluntary standards and specifications, whereas compliance is used with respect to mandatory standards and regulations. 	RDMT. https://terms.codata.org/rdmt/conformance	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000168	consensus standard	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	A standard developed through the cooperation of all parties who have an interest in participating in its development and/or use.	Definition from now-deprecated CASRAI Glossary term: consensus-standard	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Community standard							
BFO:0000002	continuant												
obo:T4FS_0000335	controlled vocabulary	'contributes to the implementation of' some 'I3. (meta)data include qualified references to other (meta)data'|data stewardship technical concept	List of standardised terminology, words, or phrases, used for indexing or content analysis and information retrieval, usually in a defined information domain.	RDMT. https://terms.codata.org/rdmt/controlled-vocabulary	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000217	core trust seal	repository certification schemes	CoreTrustSeal offers to any interested data repository a core level certification based on the DSA–WDS Core Trustworthy Data Repositories Requirements catalogue and procedures. This universal catalogue of requirements reflects the core characteristics of trustworthy data repositories and is the culmination of a cooperative effort between DSA and WDS under the umbrella of the Research Data Alliance to merge their data repositories certifications.	https://www.coretrustseal.org/about/	https://orcid.org/0000-0003-2687-1982	CTS			https://orcid.org/0000-0003-2687-1982	2021-02-17T22:12:12.996581Z			
obo:T4FS_0000480	corpus	data stewardship technical concept	Set of documents that has a scientific meaning. A corpus can be produced by an individual researcher's activity (including its archival materials) or from a laboratory's research, a field campaign, a survey, or any other discrete research activity. 	RDMT. https://terms.codata.org/rdmt/corpus	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000422	creating persistent identifiers	understanding persistent identifiers							https://orcid.org/0000-0003-2687-1982	2020-10-02T14:23:05.600474Z			
obo:T4FS_0000165	creativity	data stewardship soft skill	The ability to have an innovative approach to research by creating new or modified current concepts, theories, approaches and/or solutions.	Definition from now-deprecated CASRAI Glossary term: creativity	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000362	cross-disciplinary	data stewardship technical concept	Research approach that explains aspects of one discipline in terms of another (e.g., the physics of music; the politics of literature).	RDMT. https://terms.codata.org/rdmt/cross-disciplinary	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000265	curated data	'contributes to the implementation of' some 'F3. metadata clearly and explicitly include the identifier of the data they describe'|'contributes to the implementation of' some 'I2. (meta)data use vocabularies that follow fair principles'|'contributes to the implementation of' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|'contributes to the implementation of' some 'fair principle'|'contributes to the implementation of' some 'findability of digital assets'|data	The output of a data curation activity. Such data has generally already been cleaned, standardised, documented. Additional metadata relevant to the data object has also been added, via either manual or automatic methods.	AL 9.5.22	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982				https://orcid.org/0000-0003-2687-1982		AL 9.5.22: The orginal label ("data curation") matched a term within the Data stewardship activity hierarchy. Changing the class label to "Curated data" better fit the model.		
obo:T4FS_0000036	curation	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|data stewardship activity	Managing and promoting the use of assets from their point of creation to ensure that they are fit for contemporary purpose and available for discovery and reuse. For dynamic datasets this may mean continuous enrichment or updating to keep them fit for purpose. Higher levels of curation will also involve links with annotation and with other published materials. 	RDMT. https://terms.codata.org/rdmt/curation	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000102	curation workflow	data stewardship technical concept	A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.	Definition from now–deprecated CASRAI Glossary term: curation-workflow	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000546	darwin information typing architecture	data stewardship technical concept	A document creation and management specification that builds content reuse into the authoring process.	Definition from now-deprecated CASRAI Glossary term: darwin-information-typing-architecture/	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000430	data	data stewardship technical concept	Facts, measurements, recordings, records, or observations about the world, collected by researchers, that are yet to be processed/interpreted/analysed. Data may be in any format or medium taking the form of writings, notes, numbers, symbols, text, images, films, video, sound recordings, pictorial reproductions, drawings, designs or other graphical representations, procedural manuals, forms, diagrams, work flow charts, equipment descriptions, data files, data processing algorithms, or statistical records.	RDMT. https://terms.codata.org/rdmt/data	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000043	data access protocol	access	System that allows users to be granted access to a database under specified conditions.	RDMT.  https://terms.codata.org/rdmt/data-access-protocol	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000231	data acquisition	data stewardship activity	The process of acquiring data from some source. For example, data may be acquired by download from a repository, transfer from a data logger, data capture, etc.	RDMT. https://terms.codata.org/rdmt/data-acquisition	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	data capture|data download|data reception					AL 15.3.22: Removed "data and metadata capture" as was too similar to this term. Added alternative term "data capture".		
obo:T4FS_0000352	data analysis	data stewardship activity	Techniques that produce synthesised knowledge from organised information. Process of inspecting, cleaning, transforming, and modelling data with the goal of highlighting useful information suggesting conclusions, and supporting decision making. Data analysis has multiple facets and approaches, encompassing diverse techniques under a variety of names, in different business, science, and social science domains.	RDMT. https://terms.codata.org/rdmt/data-analysis	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000254	data archive	data stewardship technical concept	Service providing long-term, permanent care and accessibility for digital objects with research value. The standard for such repositories is the Open Archival Information System reference model.	RDMT. https://terms.codata.org/rdmt/data-archive	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000534	data archiving	archiving			https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982	Data preservation			https://orcid.org/0000-0003-2687-1982	2021-02-17T22:18:22.641817Z			
obo:T4FS_0000404	data availability	data stewardship technical concept	State when data are available in a timely manner in the place and form as needed by the user.	RDMT. https://terms.codata.org/rdmt/data-availability	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000100	data catalogue	data store	Curated collection of metadata records describing datasets and their data elements. Curated and organised using a formal metadata schema appropriate to data and data sets (e.g. ReCollect etc).	RDMT. https://terms.codata.org/rdmt/data-catalogue	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000018	data categorisation	curation				Data Categorization|Data Classification			https://orcid.org/0000-0003-2687-1982	2021-02-17T22:30:31.531624Z			
obo:T4FS_0000302	data citation	('competency gained through' some ('learning medium' and ('supports implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier')))|exposing data	Process of citing a dataset in a similar manner to other research outputs. The dataset must be a standalone output that appears in a data repository, data paper or project website, and has a Persistent Identifier. Most current referencing systems provide a format for citing datasets.	RDMT. https://terms.codata.org/rdmt/data-citation	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000384	data cleaning	curation	Process of detecting and correcting corrupt or inaccurate records from a dataset. Data cleaning is a continuous process that requires corrective actions throughout the data lifecycle. Data cleaning involves identifying, replacing, modifying or deleting incomplete, incorrect, inaccurate, inconsistent, irrelevant, and improperly formatted data. Typically, the process involves updating, correcting, standardising, and de-duplicating records to create a single view of the data, even if they are stored in multiple disparate systems.	RDMT. https://terms.codata.org/rdmt/data-cleaning	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000191	data completeness	data stewardship technical concept	Degree to which all required measurements are known. Values may be designated as “missing” in order not to have empty cells, or missing values may be replaced with default or interpolated values. In the case of default or interpolated values, these must be flagged as such to distinguish them from actual measurements or observations. Missing, default, or interpolated values do not imply that the dataset has been made complete.	RDMT. https://terms.codata.org/rdmt/data-completeness	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000120	data compliance	data stewardship technical concept	Ongoing processes to ensure adherence of data to both enterprise business rules (government department, university, industry, or agency), and to legal, regulatory and accreditation requirements. Includes five areas: controls, audit, legal compliance, regulatory compliance, and accreditation conformance.	RDMT. https://terms.codata.org/rdmt/data-compliance	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000132	data curation	curation	Managed process throughout the data lifecycle, by which data/data collections are cleansed, documented, standardised, formatted and inter-related. This includes versioning data, or forming a new collection from several data sources, annotating with metadata, adding codes to raw data (e.g., classifying a galaxy image with a galaxy type such as “spiral”). Higher levels of curation involve maintaining links with annotation and with other published materials. Thus a dataset may include a citation link to publication whose analysis was based on the data. The goal of curation is to manage and promote the use of data from its point of creation to ensure it is fit for contemporary purpose and available for discovery and re-use. For dynamic datasets this may mean continuous enrichment or updating to keep it fit for purpose. Special forms of curation may be available in data repositories. The data curation process itself must be documented as part of curation. Thus curation and provenance are highly related.	RDMT. https://terms.codata.org/rdmt/data-curation	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000389	data curator	role			https://orcid.org/0000-0002-7702-4495	database curator					AL 15.3.22: Updated label to 'data curator' to encompass curation beyond just in databases.		
