LABEL	Parent	Definition	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment
LABEL	SC % SPLIT=|	A definition	A 'term editor'	A Alternative term	A alternative definition	A alternative definition source	A created by	A creation date	A comment
Archival documentation of data	'supports implementation of' some 'FAIR principle'|Archiving	Ability to apply the FAIR principles i.e. describe the data with community metadata standard for machine and human, align with existing semantic models (ontologies, controlled vocabularies, ...), get a persistent ID, attribute licence and credit for data creators, legal aspect related to data (ownership, confidentiality, ethics, ...) add data provenance.	Allyson Lister|Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
Archival documentation of software	Archiving	Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry [YLF, VDA, KH]	Allyson Lister|Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
Archive	Data stewardship technical concept	A place or collection containing static records, documents, or other materials for long-term preservation.	Peter McQuilton
Archiving	Data stewardship activity	A curation activity that ensures that data are properly selected, stored, and can be accessed, and for which logical and physical integrity are maintained over time, including security and authenticity.	Peter McQuilton
Assess FAIRness	'supports implementation of' some 'FAIR principle'|Assessment	Activity/Process whereby digital objects are evaluated with the relevant FAIR metrics and assessment tools.	Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
Assessment	Data stewardship activity		Allyson Lister|Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang						AL 17.3.22: Updated to "Assessment" to match the style of its sibling classes. AL 3.22: Was "govern and assess", which is a compound concept. Split into two classes, Assess and Governance. Original source: FAIR4S defined activity.
Audit	Assessment	An independent evaluation of an organization, system, process, project or product.	Peter McQuilton
Authentication	Information security	The process of confirming the identity of a principal entity.	Peter McQuilton
Authenticity metadata	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A type of metadata that conveys information needed to link a data object to its original source.	Peter McQuilton
Authorisation management	'has/wants competency in' some 'Data stewardship activity'|'has/wants competency in' some 'Skills for resource management'|Resource management	Authorization management is concerned with people's access to different objects, most often to data or physical objects, such as land, buildings, rooms or infrastructure.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel
Big data	Data stewardship technical concept	An evolving term that describes any voluminous amount of structured, semi-structured and unstructured data that have the potential to be mined for information.	Peter McQuilton
Book	Learning medium		Peter McQuilton				Peter McQuilton	2020-10-01T20:54:08.535183Z
Book chapter	Book						Peter McQuilton	2020-10-01T20:53:37.24517Z
Canonical data collection	Data stewardship technical concept	A data collection that has been normalized by some established criteria to allow for effective data management. Examples include: data files that belong to a certain experiment, all files that are created by one specific simulation, all files that belong to a specific observation (same day, same place, etc.).	Peter McQuilton
Catalogue	Data stewardship technical concept	A type of collection that describes, and points to features of another collection.	Peter McQuilton
Cataloguing	Curation	An intellectual process of describing objects in accordance with accepted library principles, particularly those of subject and classification order.	Peter McQuilton
Change management	'has/wants competency in' some 'Data stewardship activity'|'has/wants competency in' some 'Skills for resource management'|Resource management	Change management is a broad subject and can be applied to all different types of organizational change. The most common change drivers include:  technological evolution, process reviews, crisis, and consumer habit changes; pressure from new business entrants, acquisitions, mergers, and organizational restructuring.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel	CM
Choosing the appropriate model or format for your data	'has/wants competency in' some 'Data stewardship activity'|'supports implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|FAIR evaluation of repositories for data deposition	To be able to choose the correct data model and/or exchange format for your data, based on the repository where you plan to deposit your data.	Peter McQuilton	Which data model to use|Which format to use
Choosing the appropriate reporting guideline for your data	'supports implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|'supports implementation of' some 'I3. (Meta)data include qualified references to other (meta)data'|FAIR evaluation of repositories for data deposition	To be able to choose the appropriate reporting guideline/checklist for your data, based on community-adopted standards.	Peter McQuilton
Choosing the appropriate terminology for your data	'has/wants competency in' some 'Data stewardship activity'|FAIR evaluation of repositories for data deposition	To be able to research and identify the appropriate taxonomy for your project. This may involve using resources such as FAIRsharing, which captures metadata on taxonomies and provides an assessment of their FAIRness.	Peter McQuilton	Controlled Vocabulary identification|Ontology identification|Taxonomy identification|Thesaurus identification
Citable data	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Data stewardship technical concept	A type of referable data that has undergone quality assessment and can be referred to as citations in publications and as part of research objects.	Peter McQuilton
Cite contributions	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|'supports implementation of' some 'F3. Metadata clearly and explicitly include the identifier of the data they describe'|Exposing data	Cite contributions to data work in published literature which draws upon that data.	Laura Molloy|Peter McQuilton
Cloud computing	Data stewardship technical concept	A large-scale distributed computing paradigm that is driven by economies of scale, in which a pool of abstracted, virtualized, dynamically- scalable, managed computing power, storage, platforms and services are delivered on demand to external customers over the Internet.	Peter McQuilton
Cloud computing environment management	'has/wants competency in' some 'A knowledge for resource management'|'has/wants competency in' some 'Data stewardship activity'|Resource management	The activity of bringing computer system resources, especially data storage and computing power on demand via Internet.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
Cloud ecosystem	Data stewardship technical concept	An ecosystem that includes not only traditional elements of cloud computing such as software and infrastructure, but also consultants, integrators, partners, third parties and anything in their environments that has a bearing on the other components.	Peter McQuilton
Collection management identification	Data stewardship technical concept	A type of data provenance that adds metadata to identify data collections.	Peter McQuilton
Comma separated values	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A file that contains the values in a table as a series of ASCII text lines organized so that each column value is separated by a comma from the next column's value and each row starts a new line.	Peter McQuilton						Maybe remove as shouldn't have formats here.
Community building	Project management activities		Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone						AL 9.3.22: renamed to prevent compound term. Was 'Influencing/community building'
Computer code	Data stewardship technical concept	A series of computer instructions written in some human readable computer language, usually stored in a text file.	Peter McQuilton
Conducting operations	Project management activities		Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Confidential information	Data stewardship technical concept	Any information obtained by a person on the understanding that they will not disclose it to others, or obtained in circumstances where it is expected that they will not disclose it.	Peter McQuilton
Confidentiality	Data stewardship technical concept	The duties and practices of people and organizations to ensure that individual's personal information only flows from one entity to another according to legislated or otherwise broadly accepted norms and policies.	Peter McQuilton
Conformance	Data stewardship technical concept	The state of having satisfied the requirements of some specific standard(s) and/or specification(s).	Peter McQuilton
Consensus standard	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A standard developed through the cooperation of all parties who have an interest in participating in its development and/or use.	Peter McQuilton	Community standard
Controlled vocabulary	'contributes to the implementation of' some 'I3. (Meta)data include qualified references to other (meta)data'|Data stewardship technical concept	A list of standardized terminology, words, or phrases, used for indexing or content analysis and information retrieval, usually in a defined information domain.	Peter McQuilton
Core trust seal	Repository certification schemes	CoreTrustSeal offers to any interested data repository a core level certification based on the DSA–WDS Core Trustworthy Data Repositories Requirements catalogue and procedures. This universal catalogue of requirements reflects the core characteristics of trustworthy data repositories and is the culmination of a cooperative effort between DSA and WDS under the umbrella of the Research Data Alliance to merge their data repositories certifications.	Peter McQuilton	CTS			Peter McQuilton	2021-02-17T22:12:12.996581Z
Corpus	Data stewardship technical concept	A set of documents that has a scientific meaning. A corpus can be produced by an individual researchers activity (including its archival materials), or from a laboratory research, field campaign or science and culture heritage project, a survey, etc.	Peter McQuilton
Creating persistent identifiers	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Understanding persistent identifiers						Peter McQuilton	2020-10-02T14:23:05.600474Z
Creativity	Data stewardship soft skill	The ability to have an innovative approach to research by creating new or modified current concepts, theories, approaches and/or solutions.	Peter McQuilton
Cross-disciplinary	Data stewardship technical concept	Explains aspects of one discipline in terms of another (e.g., the physics of music; the politics of literature).	Peter McQuilton
Curation	'supports implementation of' some 'FAIR principle'|Data stewardship activity	The activity of managing and promoting the use of data from their point of creation to ensure that they are fit for contemporary purpose and available for discovery and reuse.	Peter McQuilton
Curation workflow	Data stewardship technical concept	A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.	Peter McQuilton
Darwin information typing architecture	Data stewardship technical concept	A document creation and management specification that builds content reuse into the authoring process.	Peter McQuilton
Data	Data stewardship technical concept	Facts, measurements, recordings, records, or observations about the world collected by scientists and others, with a minimum of contextual interpretation.	Peter McQuilton
Data access protocol	Access	A system that allows outsiders to be granted access to databases without overloading the system.	Peter McQuilton
Data acquisition	Data stewardship activity	The process of acquiring data from some source. For example, data may be acquired by download from a repository, transfer from a data logger, data capture, etc.	Allyson Lister|Peter McQuilton	Data capture					AL 15.3.22: Removed "data and metadata capture" as was too similar to this term. Added alternative term "data capture".
Data analysis	Data stewardship activity	A data lifecycle stage that involves the techniques that produce synthesized knowledge from organized information.	Peter McQuilton
Data archive	Data stewardship technical concept	An archival service providing the long-term permanent care and accessibility for digital objects with research value.	Peter McQuilton
Data archiving	Archiving		Allyson Lister|Peter McQuilton	Data preservation			Peter McQuilton	2021-02-17T22:18:22.641817Z
Data availability	Data stewardship technical concept	The state when data are in the place needed by the user, at the time the user needs them, and in the form needed by the user.	Peter McQuilton
Data catalogue	Data store	A curated collection of metadata about datasets and their data elements.	Peter McQuilton
Data categorisation	Curation			Data Categorization|Data Classification			Peter McQuilton	2021-02-17T22:30:31.531624Z
Data citation	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Exposing data	Offers proper recognition to authors as well as permanent identification through the use of global persistent identifiers in place of URLs which can change frequently.	Peter McQuilton
Data cleaning	Curation	A continuous process that requires corrective actions throughout the data lifecycle.	Peter McQuilton
Data completeness	Data stewardship technical concept	The degree to which all required measures are known. Values may be designated as missing in order not to have empty cells, or missing values may be replaced with default or interpolated values. In the case of default or interpolated values, these must be flagged as such to distinguish them from actual measurements or observations.	Peter McQuilton
Data compliance	Data stewardship technical concept	Data compliance consists of the ongoing processes to ensure adherence of data to both enterprise business rules (government department, university, industry, or agency), and to legal, regulatory and accreditation requirements.	Peter McQuilton
Data curation	'supports implementation of' some 'FAIR principle'|Curation	A managed process, throughout the data lifecycle, by which data &amp; data collections are cleansed, documented, standardized, formatted and inter-related. This includes versioning data, or forming a new collection from several data sources, annotating with metadata, adding codes to raw data (e.g., classifying a galaxy image with a galaxy type such as spiral).	Peter McQuilton
Data curation	'contributes to the implementation of' some 'F3. Metadata clearly and explicitly include the identifier of the data they describe'|'contributes to the implementation of' some 'FAIR principle'|'contributes to the implementation of' some 'Findability of digital assets'|'contributes to the implementation of' some 'I2. (Meta)data use vocabularies that follow FAIR principles'|'contributes to the implementation of' some 'R1. (Meta)data are richly described with a plurality of accurate and relevant attributes'|Data stewardship technical concept	A managed process, throughout the data lifecycle, by which data and data collections are cleansed, documented, standardized, formatted and inter-related. This includes versioning data, or forming a new collection from several data sources, annotating with metadata, adding codes to raw data (e.g., classifying a galaxy image with a galaxy type such as "spiral").	Peter McQuilton				Peter McQuilton
Data curator	Role		Allyson Lister	database curator					AL 15.3.22: Updated label to 'data curator' to encompass curation beyond just in databases.
Data custodian	Role	A data custodian is an IT individual or organization responsible for the IT infrastructure providing and protecting data in conformance with the policies and practices prescribed by data governance.	Peter McQuilton
Data de-noising	Curation	Removing noise from data.	Peter McQuilton
Data destruction	Information security	The process of destroying data stored on tapes, hard disks and other forms of electronic media so that it is completely unreadable and cannot be accessed or used.
Data dictionary	Data stewardship technical concept	A collection of descriptions of the data objects or items in a data model.	Peter McQuilton
Data discovery	'has/wants competency in' some 'Data stewardship activity'|Data stewardship activity	The ability to find and comprehend data produced by people other than yourself.	Allyson Lister|Peter McQuilton	Data search					AL 15.3.22: tidied label from "discover other peoples data" to "Data discovery"
Data dredging	Data analysis	A data mining practice in which large volumes of data are analyzed seeking any possible relationships between data. The traditional scientific method, in contrast, begins with a hypothesis and follows with an examination of the data.	Peter McQuilton
Data driven decision management	Governance	An approach to governance that values decisions that can be backed up with data that can be verified. The success of the data-driven approach is reliant upon the quality of the data gathered and the effectiveness of its analysis and interpretation.	Peter McQuilton
Data driven disaster	Data stewardship activity	A serious problem caused by one or more ineffective data analysis processes. In addition to the financial burden, problems with data quality and analysis can have a serious impact on security, compliance, project management and human resource management, among others.	Peter McQuilton
Data element	Data stewardship technical concept	A unit of data for which the definition, identification, representation (term used to represent it), and permissible values are specified by means of a set of attributes.	Peter McQuilton
Data entity	Data stewardship technical concept	An object, event, or phenomenon about which data are stored in a database and which has intermediate representation in a Data Model.	Peter McQuilton
Data exploration	Data analysis	Data exploration involves summarizing the main characteristics of a dataset using visualization and should be the first step in data analysis.	Peter McQuilton
Data file format	Data stewardship technical concept	The layout of a file in terms of how the data within the file are organized. A program that uses the data in a file must be able to recognize and possibly access data within the file.	Peter McQuilton
Data governance	Governance	The exercise of authority, control and shared decision making (planning, monitoring and enforcement) over the management of data assets.	Peter McQuilton
Data harmonization	'supports implementation of' some 'FAIR principle'|Curation	In the context of epidemiology: Making data from different sources comparable. The processes involved in producing inferentially equivalent data.	Peter McQuilton
Data hygiene	'supports implementation of' some 'FAIR principle'|Curation	The collective processes conducted to ensure the cleanliness of data. Data are considered clean when they are relatively error-free.	Peter McQuilton
Data identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	An identifier that uniquely distinguishes one set of data from all others.	Peter McQuilton
Data ingestion	Data acquisition	The process of obtaining, importing, and processing data for later use or storage in a database. This process often involves altering individual files by editing their content and/or formatting them to fit into a larger document.	Peter McQuilton
Data integration	'supports implementation of' some 'FAIR principle'|Curation	Combining diverse datasets from disparate sources into one unified dataset or database. Data are accessed and extracted, moved, validated, cleaned, transformed and loaded.	Allyson Lister|Peter McQuilton
Data integrity	Data stewardship technical concept	The assurance that information can only be accessed or modified by those authorized to do so.	Peter McQuilton
Data item	Data stewardship technical concept	A type of data element that expresses a proposition that binds one or more property values to some data entity.	Peter McQuilton
Data librarian	Role	Data experts who have a librarian background. Data librarians often carry out curation and metadata related work. There is much overlap between data librarians, data managers, and data stewards.	Peter McQuilton
Data lifecycle	Data stewardship technical concept	Refers to all the stages in the existence of digital information from creation to destruction. A lifecycle view is used to enable active management of the data objects and resource over time, thus maintaining accessibility and usability.	Peter McQuilton
Data linkage	Data stewardship technical concept	The process of bringing together from two or more different sources, data that relate to the same individual, family, place or event).	Peter McQuilton
Data management	'supports implementation of' some 'FAIR principle'|Resource management	The activities of data policies, data planning, data element standardization, information management control, data synchronization, data sharing, and database development, including practices and projects that acquire, control, protect, deliver and enhance the value of data and information.	Peter McQuilton
Data management costs management	Resource management	Planning for and controlling expenditures related to the data management lifecycle, including, but not limited to, labor and infrastructure expenses for data collection; data documentation; data storage; data access and security; data preservation; data sharing; and data disposition.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
Data management plan	'contributes to the implementation of' some 'FAIR principle'|Data stewardship technical concept	A formal statement describing how research data will be managed and documented throughout a research project and the terms regarding the subsequent deposit of the data with a data repository for long-term management and preservation.	Peter McQuilton
Data management policy	'contributes to the implementation of' some 'FAIR principle'|Data stewardship technical concept	A written document backed by management describing policy and providing guidance to ensure that appropriate standards, consistent guidelines, and common strategies are used, providing linkages to and consistency with other similar systems, and fostering a true network across an organization producing data.	Peter McQuilton
Data manager	Manager
Data mart	Data store	A repository of data designed to serve a particular community of knowledge workers. The goal of a data mart is to meet the particular demands of a specific group of users.	Peter McQuilton
Data migration	Data management	The process of transferring data between storage types, formats, information technologies, or computer systems. A data migration project is usually undertaken to replace or upgrade servers or storage equipment, for a website consolidation, to conduct server maintenance or to relocate a data center.	Peter McQuilton
Data mining	Data analysis	The process of analyzing multivariate datasets using pattern recognition or other knowledge discovery techniques to identify potentially unknown and potentially meaningful data content, relationships, classification, or trends.	Peter McQuilton
Data model	Data stewardship technical concept	A model that specifies the structure or schema of a dataset. The model provides a documented description of the data and thus is an instance of metadata. It is a logical, relational data model showing an organized dataset as a collection of tables with entity, attributes and relations.	Peter McQuilton
Data modeling	'supports implementation of' some 'FAIR principle'|Curation	Data modeling formalizes and documents existing processes and events. It captures and translates complex system designs into easily understood representations of the data flows and processes, creating a blueprint for construction and/or re-engineering.	Peter McQuilton
Data munging	'supports implementation of' some 'FAIR principle'|Curation	A series of potentially destructive or irrevocable changes to a piece of data or a file. Common munging operations include removing punctuation or html tags, data parsing, filtering, and transformation.	Peter McQuilton
Data organization	'contributes to the implementation of' some 'FAIR principle'|Data stewardship technical concept	Denotes the complexity of measures that are used by a repository to form aggregations of data objects (including collections and metadata) to describe the properties of data objects, to register PIDs, to build the PID records, to link between all components, and to set up the containers (software stack) that are used to store all...	Peter McQuilton
Data policy	'contributes to the implementation of' some 'FAIR principle'|Data stewardship technical concept	An organization's stated data/information management processes designed to assist and protect the organization's data research assets. It is a set of high-level principles that establish a guiding framework for data management. A data policy can be used to address strategic aspects such as data access, relevant legal matters, data stewardship issues and custodial duties, data...	Peter McQuilton
Data processing	'supports implementation of' some 'FAIR principle'|Curation	A generic concept referring to all kinds of procedures being executed on data at any point in the data life cycle.	Peter McQuilton
Data production	Data acquisition	Includes all activities involved in the planning, collecting, processing, analysis and maintenance of data in the original research project. Among these activities are selecting a study design, constructing instruments for data collection, conducting data collection/creation, performing data editing/verification/validation, analyzing data, backing up data versions and preparing and tagging metadata.	Peter McQuilton
Data profiling	Data analysis	The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic. The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies. The insight gained by data profiling can be used to determine how difficult it will be to use existing data for other purposes. It can also be used to provide metrics to assess data quality and help determine whether or not metadata accurately describes the source data. Profiling tools evaluate the actual content, structure and quality of the data by exploring relationships that exist between value collections both within and across datasets. For example, by examining the frequency distribution of different values for each column in a table, an analyst can gain insight into the type and use of each column. Cross-column analysis can be used to expose embedded value dependencies and inter-table analysis allows the analyst to discover overlapping value sets that represent foreign key relationships between entities.	Peter McQuilton
Data publication	Exposing data	The release of research data, associated metadata, accompanying documentation, and software code (in cases where the raw data have been processed or manipulated) for re-use and analysis in such a manner that they can be discovered on the Web and referred to in a unique and persistent way. Data publishing occurs via dedicated data repositories...	Peter McQuilton
Data quality	Data stewardship technical concept	The reliability and application efficiency of data. It is a perception or an assessment of dataset's fitness to serve its purpose in a given context. Aspects of data quality include: Accuracy, Completeness, Update status, Relevance, Consistency across data sources, Reliability, Appropriate presentation, Accessibility. Within an organization, acceptable data quality is crucial to operational and transactional...	Peter McQuilton
Data recovery	Archiving	The process of restoring data that have been lost, accidentally deleted, corrupted or made inaccessible for any reason. The data recovery process may vary, depending on the circumstances of the data loss, the data recovery software used to create backups, and backup target media. In some cases, end users may be able to restore lost...	Peter McQuilton
Data reduction	Data management	The process of reducing the amount or size of stored data. This may be achieved by eliminating redundant copies of data files, deduplicating data files by removing redundant records, or by compressing the data files.	Peter McQuilton
Data reference model	Data model	A framework whose primary purpose is to enable information sharing and reuse across the federal government via the standard description and discovery of common data and the promotion of uniform data management practices.n/aCASRAI. https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/DRM_2_0_Final.pdf	Peter McQuilton
Data registration	Exposing data	A curation process on a data object by which it receives a persistent object identifier (PID) from a trusted registration authority. Registration must be accompanied by the step(s) to upload the data object to a persistent repository.	Allyson Lister|Peter McQuilton
Data repository management	Resource management	A type of data management using repositories. It is the set of policies that govern the organization, control, and properties of the repository such as: required file formats, access control restrictions, integrity, replication, retention, disposition, etc.	Allyson Lister|Peter McQuilton
Data representation	Curation	An object describing the context of the data, including provenance, description, structural, and administrative information.	Allyson Lister|Peter McQuilton
Data rescue	Archiving	Recovery and/or transformation and digitization of dark data and at-risk data so that they can be preserved, accessed, shared, and used. Data rescue also involves the addition of rich metadata to make the content understandable and more easily re-usable.	Allyson Lister|Peter McQuilton
Data residency	Data stewardship activity	The physical or geographic location of an organization's data or information. Data residency also refers to the legal or regulatory requirements imposed on data based on the country or region in which it resides. Cloud computing, which allows organizations to deliver hosted services over the Internet, can create data residency concerns.	Peter McQuilton
Data retention policy	Data stewardship technical concept	An organization's established protocol for retaining information for operational or regulatory compliance needs. The objectives of a data retention policy are to keep important information for future use or reference, to organize information so it can be searched and accessed at a later date, and to dispose of information that is no longer needed.	Peter McQuilton
Data review	Data analysis	An activity through which the correctness conditions of the data are verified. It also includes the specification of the type of the error or condition not met, and the qualification of the data and its division into the error-free and erroneous data. Data review consists of both error detection and data analysis, and can be carried out in manual or automated mode.	Allyson Lister|Peter McQuilton
Data scaling	Data analysis	Techniques used to deal with parameters having different units and scales.	Allyson Lister|Peter McQuilton	Data rescaling
Data scientist	Scientist		Allyson Lister						AL 15.3.22: Added for FAIR Cookbook integration.
Data selection	Data acquisition	A process that creates a new dataset from an original source. Examples include: creating a subset of the data,querying a database.	Allyson Lister|Peter McQuilton
Data sharing	Exposing data	The practice of making data available for reuse. This may be done, for example, by depositing the data in a repository, through data publication.	Allyson Lister|Peter McQuilton	Data dissemination|Data posting
Data splitting	Information security	An approach to protecting sensitive data from unauthorized access by encrypting the data and storing different portions of a file on different servers. An unauthorized person would need to know the locations of the servers containing the parts, be able to get access to each server, know what data to combine, and how to decrypt it. Data splitting can be made even more effective by periodically retrieving and recombining the parts, and then splitting the data in a different way among different servers, and using a different encryption key.	Allyson Lister|Peter McQuilton
Data standardization	Data stewardship technical concept	In the context of data analysis and data mining: Where V represents the value of the variable in the original datasets: Transformation of data to have zero mean and unit variance. Techniques used include: (a) Data normalization; (b) z-score scaling; (c) Dividing each value by the range: recalculates each variable as V /(max V - ...	Peter McQuilton
