ID	Label	Synonyms	Definition	Definition Source	Editor	Type	Parent Class	Subclass Context	Subclass Competency	Domain	Range	See Also	Comment
fso:FSO_0000023	understand persistent id. standards	??	know different types of persistent id. standards, understand their strengths and limitations. Know the supporting types of persistant id. standards of different repositories. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Specify metadata and persistent id. standards	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000024	select persistent id. standard	??	Adopt the persistent id. that provided by the repository. If the repository doesn't provide proper persistent id. then select a suitable one. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Specify metadata and persistent id. standards	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000025	Analyse requirements for services or software	??	??	??	??		Design						
fso:FSO_0000026	plan for data normalisation	??	??	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Analyse requirements for services or software	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000027	generate requirements for services or software	??	Identify the requirements for services or software, including the functionalities, performance, usability and other aspecteds required by the project. Document the requirements for being used in the implmenetation stage. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Analyse requirements for services or software	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000028	Appraise and select repositories for FAIR sharing	??	??	??	??		Design						
fso:FSO_0000029	know services/conditions of repositories 	??	Know the services and usage conditions of different repositories and their suitability to share the output in the FAIR way.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Appraise and select repositories for FAIR sharing	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000030	select the repository for FAIR sharing	??	Select repositories that support sharing of research output (software, data and publications) in FAIR way.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Appraise and select repositories for FAIR sharing	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000031	Capture	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000032	Data retrieval	Information literacy; information retrieval; 	Identify, locate, and retrieve digital information, judging its relevance and purpose.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Capture	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000033	Perform information search for relevant data	information search; information retrieval	Identify, locate, and retrieve digital information, judging its relevance and purpose.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data retrieval	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000034	Assess information trustworthiness	Information literacy.	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data retrieval	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000035	identify relevance of information	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data retrieval	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000036	understand domain specific information standards	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data retrieval	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000037	Receive the relevant data	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data retrieval	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000038	Manage databases	??	Apply database design schemes and models, define data dependencies, use query languages and database management systems (DBMS) to develop and manage databases.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Capture	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000039	Manage database access rights	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Manage databases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000040	know and apply database query languages	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Manage databases	('has context' some Project); ('has context' only Project)					
fso:FSO_0000041	Set up data-handling workflows	??	Data-handling workflows are set up with understanding of the research data lifecycle. (The documenting of these workflows is a child-term of "process".)	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Manage databases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000042	apply project management skills	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Set up data-handling workflows	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000043	understanding of the research data lifecycle	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Set up data-handling workflows	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000044	Process	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		owl:Thing						
fso:FSO_0000045	Processing information retrieved from existing sources	??	Store, organise and analyse digital information	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Process	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000046	Software Development	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Process	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000047	prototyping	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Software Development	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000048	versioning	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Software Development	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000049	Document data-handling workflows	??	Document workflow processes on data-handling throughout the data lifecycle.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Software Development	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000050	File organisation	??	LS: could be inspired by ESCO: Manage various data formats and files by naming, storing, publishing, transforming and sharing files and documents and transforming file formats.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Document data-handling workflows		('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000051	File naming	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		File organisation	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000052	Data cleaning	??	LS: could be inspired by ESCO: Detect and correct corrupt records from data sets, ensure that the data become and remain structured according to guidelines.	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Document data-handling workflows	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000053	applying tools	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data cleaning	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000054	applying software	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data cleaning	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000055	documenting the cleaning steps	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data cleaning	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000056	Understanding the requirements of the analysis/research question	??	??	??	Laura Molloy, Lennart Stoy, and Frans Huigen		Data cleaning	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000057	Integrate and Analyse	??	??	??			owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000058	Use FAIR and open research tools or services	??	Understand how to use FAIR and open research tools and services.	??	Hugh Shanahan		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000059	Know about Research Software Engineer role in implementing FAIR	??	Understand what professional software developers may be able to do, resources allowing, to assist in matching software solutions to research project requirements,	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000060	Know how to find FAIR research data tools/services (catalogues)	??	Know how to search for and identify FAIR services or tools that fit project needs	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000061	Understand reuse terms of FAIR data tools/services	??	Understand what reuse is permitted according to the licenses or terms and conditions applicable to services, tools and their content	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000062	Identify requirements for FAIR/open research data tools or services	??	Identify how research data practices may be improved by deploying FAIR or open tools and services	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000063	Be able to apply FAIR data tools/services	??	Deploy and use FAIR data tools/services effectively in research or the stewardship of its outputs	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000064	Evaluate relevant FAIR data tools/services against requirements	??	Identify and apply critera for selecting FAIR data tools/services that are fit for purpose	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000065	Show open attitude in collaboratively solving FAIR implementation problems	??	Demonstrate willingness to involve others and share responsibility for applying FAIR principles	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000066	Be willing to learn new techniques for FAIR implementation	??	Demonstrate willingness to engage with new ways of applying FAIR principles	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000067	Develop FAIR and open research data tools or services	??	Ensure that software and services developed for research data management are themselves as openly findable, interoperable, accessible and reusable as possible.	??	Angus Whyte		Use FAIR and open research tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000068	Understand application of software engineering principles to FAIR/open tools and services	??	Ensure that software and services are developed for research data management according to good software enginnering principle	??	Angus Whyte		Develop FAIR and open research data tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000069	Gather requirements for FAIR and open tools	??	Apply requirements gathering techniques to ensure that FAIR and open tools are based on user requirements	??	Angus Whyte		Understand application of software engineering principles to FAIR/open tools and services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000070	Make tools/services FAIR	??	Apply FAIR principles to tools or services involved in managing FAIR data	??	Angus Whyte		Develop FAIR and open research data tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000071	Understand how FAIR principles apply to software and services.	??	Know current good practices in applying the FAIR criteria to software and services	??	Angus Whyte		Develop FAIR and open research data tools or services	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000072	Critical thinking and theory building	??	??	??	Angus Whyte		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000073	Understand how data relates to community research methodology	??	Know how the acceptability of research evidence depends on the research community concept of data and its methods for deriving valid knowledge from it	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000074	Contextualise FAIR principles to domain	??	Know how data handling practices in the domain make FAIR criteria more or less easy to implement	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000075	Understand theories underlying FAIR implementation	??	Understand the concepts underpinning FAIR criteria	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000076	Choose FAIR data handling approaches appropriate to the research phenomena 	??	Select data handling approaches likely to make data as FAIR as possible, considering what the data is about and its purpose in the research.	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000077	Apply FAIR principles to current data practice	??	Use data handling approaches consistently with current practice in applying FAIR criteria in the domain	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000078	Show willingness to critically assess (earlier) work of others and yourself	??	Show appreciation of strengths and weakness of earlier FAIR data management steps taken by self or others	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000079	Know about different ways to address problems	??	Understand alternative solutions to challenges in applying FAIR principles in the current context	??	Angus Whyte		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000080	Apply different perspectives to understand problems/phenomena 	??	Be able to frame data stewardship problems in a variety of ways to guide effective strategies for making data FAIR and open	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000081	Flexible mindset	??	Appreciate the need for flexibility in applying FAIR criteria to make data as open as possible, as closed as necessary	??	Angus Whyte		Critical thinking and theory building	('has context' some Project); ('has context' only Project)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000082	Understand mathematical and statistical concepts and techniques relevant to the domain	??	To have a sufficient grasp of the mathematical and statistical techniques relevant to the domain in question so that one can understand what is required to have the data in the right format for those techniques to be applied without further transformation of the data.	??	Hugh Shanahan		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000083	Be able to make data actionable for computational methods relevant to the data	??	Be able to put data into a format so that it can be directly called by a relevant piece of software, function or workflow which implements a specific mathematical or statistical step without recourse to any further transformation. 	??	Hugh Shanahan		Understand mathematical and statistical concepts and techniques relevant to the domain	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000084	Understand data transformation and integration	??	Understand data transformation and integration techniques relevant to the research	??	Hugh Shanahan		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000085	Make data actionable for transformation and integration	??	Be able to make data actionable for transformation and integration techniques relevant to the research	??	Hugh Shanahan		Understand data transformation and integration	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000086	Integrate data from disparate data sets	??	To be able to integrate disparate datasets, using associated metadata appropriately.	??	Hugh Shanahan		Make data actionable for transformation and integration; Be able to make data actionable for computational methods relevant to the data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000087	Be able to clean data	??	To carry out the steps necessary to remove inconsistencies within a dataset that can cause downstream functions, software or workflows to fail; to label values as missing where necesary.	??	Hugh Shanahan		Make data actionable for transformation and integration; Be able to make data actionable for computational methods relevant to the data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000088	Apply data imputation	??	To carry out appropriate data imputation techniques relevant to the domain, namely methods to impute values for data where they are missing.	??	Hugh Shanahan		Make data actionable for transformation and integration; Be able to make data actionable for computational methods relevant to the data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000089	Generate metadata to track transformations.	??	To create metadata to consistently define transformations on data that makes the data actionable for research and where possible to infer the original data.	??	Hugh Shanahan		Apply data imputation; Be able to clean data; Integrate data from disparate data sets	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000090	Understand querying techniques	??	To understand the techniques behind querying datasets relevant for a domain, whether it be (for example) SQL queries constructed from a relational databases or GraphQL queries for a graph.	??	Hugh Shanahan		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000091	Build queries	??	To be able to construct queries of a dataset that is apposite for the domain,	??	Hugh Shanahan		Understand querying techniques	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000092	Computationally predict from or interpret data.	??	To understand the computational techniques used in making predictions from or interpreting data sets relevant to the domain. These techniques include Predictive Modelling and Analytics, Machine Learning, Data Mining and Feature Engineering. Specifically the understanding of how the data needs to formatted for the relevant methods to used without any further intervention.	??	Hugh Shanahan		Integrate and Analyse	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000093	Make data actionable for computational prediction of or interpretations from data relevant	??	To be able to construct data sets so that they can be called directly from methods that build prediction models from or interpret data relevant to the domain. 	??	Hugh Shanahan		Understand querying techniques	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000094	Deploy feature data	??	To be able to store and access data that is a projection of a larger data set either through tecniques such as Principal Component Analysis or more general feature engineering techniques.	??	Hugh Shanahan		Understand querying techniques	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000095	Deploy generated models	??	To be able to deploy models that have been trained on data sets for further use.	??	Hugh Shanahan		Understand querying techniques	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000096	Build modelling metadata	??	To be able to define relevant metadata for models and features generated.	??	Hugh Shanahan		Understand querying techniques	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000097	Appraise and preserve	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000098	Curate (SDH suggestion) Prepare for Long term preservation (MI suggestion)	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000099	Know about specific requirements for LTP for your specific data	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000100	Able to prepare data for long term preservation, able to find the right repository	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000101	Willingness to put extra effort into preparing data for LTP	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve		('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000102	Know what the needs of researchers in specific domains are	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000103	Being able to  explain to researchers how to prepare their data for LTP( should be incorporated in the RDM plans )	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000104	willing to help and understand researchers	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve		('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000105	Preserve	??	General definition: to keep something as it is, especially in order to prevent it from decaying or being damaged or destroyed (source: https://dictionary.cambridge.org/fr/dictionnaire/anglais/preserve). Specific definition: to keep data accessible, findable and in a state enabling reuse prevent it to decay, being damaged. In this definition we are considering the aspects of both short and long term preservation.	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000106	Prepare data for archiving/preservation #1	??	activity/process whereby data is organised, cleaned, transformed into interoperable format, provenance information is gathered, target repository/archive is identified and governance rules are defined [YLF, KH].	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)					
fso:FSO_0000107	Prepare data for archiving/preservation #2	??	Ability to organise, clean and transform the data into interoperable format and identify existing relevant data archives and repositories, gather provenance information and define governance for the data [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000108	Data organisation skills	??	Ability to organize and structure data [YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #2	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000109	Data cleaning skills	??	Ability to perform data mining, data wrangling and data quality assessment [YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #2	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000110	Data transformation skills	??	Ability to transform data into interoperable formats [KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #2	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000111	Provenance tracking skills	??	Ability to gather and define provenance information [KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #2	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000112	Prepare data for archiving/preservation #3	??	knows about the data content and structure, how to structure a dataset (DCAT,... ), existing data archives/repositories, data formats, provenance [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000113	Knowledge of data standard	??	Knows the existing standards for structuring datasets (DCAT,...) [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000114	Knowledge of data formats	??	Knows the different data formats [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000115	Knowledge of data content	??	Knows the domain specific knowledge associated with the data [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000116	Knowledge of provenance 	??	Knows about what is provenance, what are the different formats used to represent provenance and existing systems for provenance tracking [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
