ID	Label	Definition	Definition Source	Editor	Parent Class	Comment
http://fairsharing.org/fso/FSO_0011366	Data driven disaster	"A serious problem caused by one or more ineffective data analysis processes. In addition to the financial burden, problems with data quality and analysis can have a serious impact on security, compliance, project management and human resource management, among others."	CASRAI. https://casrai.org/term/data-driven-disaster/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011367	Data exploration	Data exploration involves summarizing the main characteristics of a dataset using visualization and should be the first step in data analysis.	CASRAI. https://casrai.org/term/data-exploration/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011368	Data governance	"The exercise of authority, control and shared decision making (planning, monitoring and enforcement) over the management of data assets."	CASRAI. https://casrai.org/term/data-governance/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011369	Data harmonization	In the context of epidemiology: Making data from different sources comparable. The processes involved in producing inferentially equivalent data.	CASRAI. https://casrai.org/term/data-harmonization/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011370	Data hygiene	The collective processes conducted to ensure the cleanliness of data. Data are considered clean when they are relatively error-free.	CASRAI. https://casrai.org/term/data-hygiene/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011371	Data ingestion 	"The process of obtaining, importing, and processing data for later use or storage in a database. This process often involves altering individual files by editing their content and/or formatting them to fit into a larger document."	CASRAI. https://casrai.org/term/data-ingestion/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011372	Data integration	"Combining diverse datasets from disparate sources into one unified dataset or database. Data are accessed and extracted, moved, validated, cleaned, transformed and loaded."	CASRAI. https://casrai-test.evision.ca/?page_id=160	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011373	Data management	"The activities of data policies, data planning, data element standardization, information management control, data synchronization, data sharing, and database development, including practices and projects that acquire, control, protect, deliver and enhance the value of data and information."	CASRAI. https://casrai.org/term/data-management/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011374	Data migration	"The process of transferring data between storage types, formats, information technologies, or computer systems. A data migration project is usually undertaken to replace or upgrade servers or storage equipment, for a website consolidation, to conduct server maintenance or to relocate a data center."	CASRAI. https://casrai.org/term/data-migration/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011375	Data mining	"The process of analyzing multivariate datasets using pattern recognition or other knowledge discovery techniques to identify potentially unknown and potentially meaningful data content, relationships, classification, or trends."	CASRAI. https://casrai.org/term/data-mining/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011376	Data modeling	"Data modeling formalizes and documents existing processes and events. It captures and translates complex system designs into easily understood representations of the data flows and processes, creating a blueprint for construction and/or re-engineering."	CASRAI. https://casrai.org/term/data-modeling/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011377	Data munging	"A series of potentially destructive or irrevocable changes to a piece of data or a file. Common munging operations include removing punctuation or html tags, data parsing, filtering, and transformation."	CASRAI. https://casrai.org/term/data-munging/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011378	Data processing	A generic concept referring to all kinds of procedures being executed on data at any point in the data life cycle.	CASRAI. https://casrai.org/term/data-processing/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011379	Data production	"Includes all activities involved in the planning, collecting, processing, analysis and maintenance of data in the original research project. Among these activities are selecting a study design, constructing instruments for data collection, conducting data collection/creation, performing data editing/verification/validation, analyzing data, backing up data versions and preparing and tagging metadata."	CASRAI. https://casrai.org/term/data-production/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011380	Data profiling	"The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic. The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies. The insight gained by data profiling can be used to determine how difficult it will be to use existing..."	CASRAI. https://casrai.org/term/data-profiling/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011381	Data publication	"The release of research data, associated metadata, accompanying documentation, and software code (in cases where the raw data have been processed or manipulated) for re-use and analysis in such a manner that they can be discovered on the Web and referred to in a unique and persistent way. Data publishing occurs via dedicated data repositories..."	CASRAI. https://casrai.org/term/data-publication/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011382	Data recovery	"The process of restoring data that have been lost, accidentally deleted, corrupted or made inaccessible for any reason. The data recovery process may vary, depending on the circumstances of the data loss, the data recovery software used to create backups, and backup target media. In some cases, end users may be able to restore lost..."	CASRAI. https://casrai.org/term/data-quality-review/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011383	Data reduction	"The process of reducing the amount or size of stored data. This may be achieved by eliminating redundant copies of data files, deduplicating data files by removing redundant records, or by compressing the data files.n/ahttp://searchdatabackup.techtarget.com/definition/data"	CASRAI. https://casrai.org/term/data-reduction/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011384	Data registration	"A curation process on a data object by which it receives a persistent object identifier (PID) from a trusted registration authority. Registration must be accompanied by the step(s) to upload the data object to a persistent repository. RELATED TERM. Repository; Persistent identifierREFERENCE. Research Data Alliance http://smw-rda.esc.rzg.mpg.de/index.php/Main_Page ; NISO (2004) Understanding Metadata. Bethesda, MD: NISO Press."	CASRAI. https://casrai.org/term/data-registration/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011385	Data repository management	"A type of data management using repositories. It is the set of policies that govern the organization, control, and properties of the repository such as: required file formats, access control restrictions, integrity, replication, retention, disposition, etc.n/ahttp://smw-rda.esc.rzg.mpg.de/index.php/Main_Page"	CASRAI. https://casrai.org/term/data-repository-management/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011386	Data representation	"An object describing the context of the data, including provenance, description, structural, and administrative information.n/ahttp://smw-rda.esc.rzg.mpg.de/index.php/Main_Page"	CASRAI. https://casrai.org/term/data-representation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011387	Data rescue	"Recovery and/or transformation and digitization of dark data and at-risk data so that they can be preserved, accessed, shared, and used. Data rescue also involves the addition of rich metadata to make the content understandable and more easily re-usable.REFERENCE. http://www.wmo.int/pages/prog/hwrp/datarescue.php ; http://iedro.org/data-rescue-process/ ;"	CASRAI. https://casrai.org/term/data-rescue/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011388	Data residency	"The physical or geographic location of an organization's data or information. Data residency also refers to the legal or regulatory requirements imposed on data based on the country or region in which it resides. Cloud computing, which allows organizations to deliver hosted services over the Internet, can create data residency concerns."	CASRAI. https://casrai.org/term/data-residency/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011389	Data review	"An activity through which the correctness conditions of the data are verified. It also includes the specification of the type of the error or condition not met, and the qualification of the data and its division into the error-free and erroneous data. Data review consists of both error detection and data analysis, and can be..."	CASRAI. https://casrai.org/term/data-review/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011390	Data scaling	Techniques used to deal with parameters having different units and scales. SYNONYM. Data rescaling. RELATED TERM. Data standardizationn/a	CASRAI. https://casrai.org/term/data-scaling/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011391	Data selection	"A process that creates a new dataset from an original source. Examples include: creating a subset of the data,querying a database.n/a"	CASRAI. https://casrai.org/term/data-selection/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011392	Data sharing	"The practice of making data available for reuse. This may be done, for example, by depositing the data in a repository, through data publication. SYNONYM. Data dissemination; Data posting. RELATED TERM. Repository; Data publication"	CASRAI. https://casrai.org/term/data-sharing/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011393	Data splitting	"An approach to protecting sensitive data from unauthorized access by encrypting the data and storing different portions of a file on different servers. An unauthorized person would need to know the locations of the servers containing the parts, be able to get access to each server, know what data to combine, and how to decrypt..."	CASRAI. https://casrai.org/term/data-splitting/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011394	Data transformation	Manipulation of raw data to produce a single output. RELATED TERM. Data selection; Data processing; Data pre-processingn/a	CASRAI. https://casrai.org/term/data-transformation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011395	Data validation	"Provides well-defined guarantees for fitness, accuracy, and consistency for any of various kinds of user input into an application or automated system. Data validation checks that data are valid, sensible, reasonable, clean, usable, and secure before they are processed. Failures or omissions in data validation can lead to data corruption, security vulnerability. Improperly validated data &hellip; <a href=CASRAI. https://casrai.org/term/data-validation/ class=more-link"	CASRAI. https://casrai.org/term/data-validation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011396	Data wrangling	"The process of manually or semi-automatically converting or mapping data from one form into another format that allows for more convenient consumption of the data with the help of semi-automated tools. Gathering and organizing disparate data from different sources, often collected by many different investigators. Activities include developing and supporting search tools that utilize standardized &hellip; <a href=CASRAI. https://casrai.org/term/data-wrangling/ class=more-link"	CASRAI. https://casrai.org/term/data-wrangling/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011397	Database administration	"The function of managing the physical aspects of data resources, including database design and integrity, backup and recovery, performance and tuning.REFERENCE. DAMA Dictionary of Data Management"	CASRAI. https://casrai.org/term/database-administration/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011398	De-anonymization 	"De-anonymization is a reverse engineering process in which de-identified data are cross-referenced with other data sources to re-identify the personally identifiable information. This could occur if a de-identification process had not been not successfully performed, or had not been undertaken in the first place.n/a"	CASRAI. https://casrai.org/term/de-anonymization/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011399	De-identification	"1. The act of minimally perturbing individual-level data to decrease the probability of discovering an individual’s identity. It involves masking direct identifiers (e.g., name, phone number, address) as well as transforming indirect identifiers that could be used alone or in combination to-identify an individual (e.g., birth dates, geographic details, dates of key events). If done &hellip; <a href=CASRAI. https://casrai.org/term/de-identification/ class=more-link"	CASRAI. https://casrai.org/term/de-identification/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011400	Digital archiving	1. In the context of library and archiving communities: Digital archiving is often used interchangeably with digital preservation. 2. In the context of computingÈ Digital archiving is process of backup and ongoing maintenance as opposed to strategies for long-term digital preservation. RELATED TERM. ArchivingREFERENCE. Digital preservation coalitionhttp://www.dpconline.org/advice/preservationhandbook/introduction/definitions-and-concepts	CASRAI. https://casrai.org/term/digital-archiving/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011401	Digital scholarship 	"Incorporates: • building a digital collection of information for further study and analysis; • creating appropriate tools for collection- building; • creating appropriate tools for the analysis and study of collections; • using digital collections and analytical tools to generate new intellectual products; and, • Creating authoring tools for these new intellectual products, either in &hellip; <a href=CASRAI. https://casrai.org/term/digital-scholarship/ class=more-link"	CASRAI. https://casrai.org/term/digital-scholarship/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011402	Digitisation	"The process of creating digital files by scanning or otherwise converting analogue materials. The resulting digital copy, or digital surrogate, would then be classed as digital material and then subject to the same broad challenges involved in preserving access to it, as born digital materials.REFERENCE. Digital preservation coalitionhttp://www.dpconline.org/advice/preservationhandbook/introduction/definitions-and-concepts"	CASRAI. https://casrai.org/term/digitisation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011403	Dissambuation 	The act of interpreting an author's intended use of a word that has multiple meanings or spellings.n/ahttp://searchdatamanagement.techtarget.com/definition/disambiguation	CASRAI. https://casrai.org/term/dissambuation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011404	Evaluation 	"Evaluation is a decision about significance, value, or quality of something, based on careful study of its good and bad features.n/aCASRAI. https://www.ee.oulu.fi/research/ouspg/Glossary#OUSPG_Glossary"	CASRAI. https://casrai.org/term/evaluation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011405	Governance 	"1. Exercising authority to provide direction and to undertake, coordinate, and regulate activities in support of achieving this direction and desired outcomes. 2. Governance can be thought of as the role of an organization’s board of directors or its equivalent that is focused on defining that organization’s purpose and the development of the strategies, objectives, &hellip; <a href=CASRAI. https://casrai.org/term/governance/ class=more-link"	CASRAI. https://casrai.org/term/governance/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011406	Hashing 	1. The transformation of a string of characters into a usually shorter fixed-length value or key that represents the original string. Hashing is used to index and retrieve items in a database because it is faster to find the item using the shorter hashed key than to find it using the original value. 2. Used &hellip; <a href=CASRAI. https://casrai.org/term/hashing/ class=more-link	CASRAI. https://casrai.org/term/hashing/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011407	Information governance	"REFERENCE. U.K. Government, 2013"	CASRAI. https://casrai.org/term/information-governance/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011408	Innovation 	"In the context of a researcher's activities, innovation is the development of modified or novel approaches, theories, concepts, ideas or solutions. Innovation is one of four valued outcomes.RELATED TERM. Valued outcome; Incumbent-based; Research, development and analysis; Managing research; Representation and client servicesIn a 5-level incumbent-based process, demonstrated valued outcomes of innovation in research, development and &hellip; <a href=CASRAI. https://casrai.org/term/innovation/ class=more-link"	CASRAI. https://casrai.org/term/innovation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011409	Integrated access management	"A combination of business processes, policies and technologies that allows organizations to provide secure access to confidential data. Integrated access management software is used by enterprises to control the flow of sensitive data in and out of the network.n/ahttp://searchsecurity.techtarget.com/definition/integrated-access-management-IAM"	CASRAI. https://casrai.org/term/integrated-access-management/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011410	Integration	"1. The act of bringing together smaller components into a single system that functions as one. 2. In the context of information technology: The end result of a process that aims to stitch together different, often disparate, subsystems so that the data contained in each becomes part of a larger, more comprehensive system that, ideally, &hellip; <a href=CASRAI. https://casrai.org/term/integration/ class=more-link"	CASRAI. https://casrai.org/term/integration/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011411	Integrity	"In the context of data and network security: The assurance that information can only be accessed or modified by those authorized to do so. Measures taken to ensure integrity include controlling the physical environment of networked terminals and servers, restricting access to data, and maintaining rigorous authentication practices. Data integrity can also be threatened by &hellip; <a href=CASRAI. https://casrai.org/term/integrity/ class=more-link"	CASRAI. https://casrai.org/term/integrity/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011412	Intellectual leadership	"The capacity to influence stakeholders and the direction of research activities; the ability to shape others' understanding in ways that capture interest, inform and gain support; and, the capacity to influence the actions and opinions of others.REFERENCE. Government of Canada (2006) Model guide for the preparation of researchers' career advancement (promotion) documentation ; Government of &hellip; <a href=CASRAI. https://casrai.org/term/intellectual-leadership/ class=more-link"	CASRAI. https://casrai.org/term/intellectual-leadership/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011413	Interface testing	Testing conducted to evaluate whether systems or components pass data and control correctly to each other.n/aCASRAI. https://www.ee.oulu.fi/research/ouspg/Glossary#OUSPG_Glossary	CASRAI. https://casrai.org/term/interface-testing/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011414	Long-term preservation	"Long-term preservation - Continued access to digital materials, or at least to the information contained in them, indefinitely.REFERENCE. Digital preservation coalitionhttp://www.dpconline.org/advice/preservationhandbook/introduction/definitions-and-concepts"	CASRAI. https://casrai-test.evision.ca/?page_id=323	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011415	Manage datasets in a repository	"Implement the policies that govern the arrangement, naming, descriptive metadata, provenance metadata, representation metadata, administrative metadata, access controls, retention, disposition, integrity, and replication of digital objects.n/ahttp://smw-rda.esc.rzg.mpg.de/index.php/Main_Page"	CASRAI. https://casrai-test.evision.ca/?page_id=326	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011416	Manage metadata catalog 	"Implement the policies that govern the choice of metadata schema, reserved vocabularies, metadata organization in tables, and metadata properties (creation date, access control, ownership, etc.).n/ahttp://smw-rda.esc.rzg.mpg.de/index.php/Main_Page"	CASRAI. https://casrai-test.evision.ca/?page_id=327	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011417	Managing research	"In the context of a researcher's activities, Managing research is the processes related to the planning, organizing, setting objectives, controlling and evaluating of RDA activities and their associated human and financial resources. It includes the provision of leadership to, and assessment of, other scientists, engineers, technologists, and/or other staff. Managing research is one of the &hellip; <a href=CASRAI. https://casrai.org/term/managing-research/ class=more-link"	CASRAI. https://casrai-test.evision.ca/?page_id=329	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011418	Medium-term preservation	Medium-term preservation - Continued access to digital materials beyond changes in technology for a defined period of time but not indefinitely.REFERENCE. Digital preservation coalitionhttp://www.dpconline.org/advice/preservationhandbook/introduction/definitions-and-concepts	CASRAI. https://casrai-test.evision.ca/?page_id=334	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011419	Peer review	A process by which a scholarly work (such as a paper or a research proposal) is checked by a group of experts in the same field to make sure it meets the necessary standards before it is published or acceptedREFERENCE. Merriam-Webster dictionary	CASRAI. https://casrai-test.evision.ca/?page_id=369	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011420	Preservation	An activity within archiving in which specific items of data are maintained over time so that they can still be accessed and understood through changes in technology. SYNONYM. ConservationREFERENCE. JISC/TC3+; TBS Information Management Glossary (National Archives of Canada Preservation Policy)	CASRAI. https://casrai-test.evision.ca/?page_id=377	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011421	Privacy governance 	"Monitoring the risk to privacy posed by data requests from researchers, and the practices of data custodians in providing data (information governance) to ensure that confidentiality is protected. Such governance requires specialized knowledge of technology, law, and statistical methods. RELATED TERM. Information governance; Governance and accountability moden/a"	CASRAI. https://casrai-test.evision.ca/?page_id=383	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011422	Program governance	"The process of developing, communicating, implementing, monitoring, and assuring the policies, procedures, organizational structures, and practices associated with a given program.REFERENCE. Project Management Institute (2006) The Standard for Program Management."	CASRAI. https://casrai-test.evision.ca/?page_id=389	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011423	Research data management	"Data Management refers to the storage, access and preservation of data produced from a given investigation. Data management practices cover the entire lifecycle of the data, from planning the investigation to conducting it, and from backing up data as it is created and used to long term preservation of data deliverables after the research investigation &hellip; <a href=CASRAI. https://casrai.org/term/research-data-management/ class=more-link"	CASRAI. https://casrai-test.evision.ca/?page_id=446	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011424	Research data publication workflow	"Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web. In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows &hellip; <a href=CASRAI. https://casrai.org/term/research-data-publication-workflow/ class=more-link"	CASRAI. https://casrai-test.evision.ca/?page_id=448	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011425	Research governance	"Ensures that the benefits to society of research outweigh any risks, from both an ethical and legal perspective.n/a"	CASRAI. https://casrai-test.evision.ca/?page_id=449	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011426	University teaching	"The application of a comprehensive knowledge of a discipline or disciplines to the development of expertise and the generation of new knowledge through research, and the planning and presentation of courses of study for undergraduates and graduates in universities. RELATED TERM. Researchern/ahttp://www.tbs-sct.gc.ca/cla/def/conc-eng.asp#sh"	CASRAI. https://casrai-test.evision.ca/?page_id=517	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011427	User acceptance testing	A phase of development where the product is tested in the real world by the intended audience. The experiences of the early users are forwarded back to the developers who make final changes before releasing the product. SYNONYM. UATn/ahttp://searchsoftwarequality.techtarget.com/definition/user-acceptance-testing-UAT	CASRAI. https://casrai-test.evision.ca/?page_id=522	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011428	Chief Data Officer	"A corporate officer responsible for enterprise-wide governance and utilization of information as an asset, via data processing, analysis, data mining, information trading and other means."	CASRAI. https://casrai.org/term/chief-data-officer/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011429	Chief Digital Officer	"A person who helps an organisation drive growth by converting traditional analog activities to digital ones, and overseas operations in the rapidly changing digital sectors such as mobile applications, social media and related applications, virtual goods, as well as wild web-based information management and marketing."	CASRAI. https://casrai.org/term/chief-digital-officer/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011430	Chief Information Officer	The most senior executive in an enterprise responsible for the information technology and computer systems that support enterprise goals.	CASRAI. https://casrai.org/term/chief-information-officer/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011431	Chief Technology Officer	"Typically is at the same level as, or reporting directly to the chief information officer, the Chief Technology Officer is primarily concerned with long-term and big picture issues (while still having deep technical knowledge of the relevant field)."	CASRAI. https://casrai.org/term/chief-technology-officer/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011432	Data custodian	A data custodian is an IT individual or organization responsible for the IT infrastructure providing and protecting data in conformance with the policies and practices prescribed by data governance.	CASRAI. https://casrai.org/term/data-custodian/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011433	Data librarian	"Data experts who have a librarian background. Data librarians often carry out curation and metadata related work. There is much overlap between data librarians, data managers, and data stewards."	CASRAI. https://casrai.org/term/data-librarian/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011434	Data steward	"Data stewardship is a shared responsibility between Principal Investigators and data stewards. Principal Investigators are responsible for, and data stewards provide support for: (a) Data collection, data integration, or reuse of existing data; (b) Review of data quality; (c) Description of scientific workflow/process; (d) Provision of standards-compliant metadata; and, (e) Submission of data and data..."	CASRAI. https://casrai.org/term/data-steward/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011435	Information management advisor	A person having a broad knowledge of information management disciplines and who provides guidance and support to program and staff functions on all aspects of managing the information resource.n/ahttp://www.tbs-sct.gc.ca/cioscripts/gloss/gloss-alpha_e.asp?SubjectID=128&who=/im-gi/	CASRAI. https://casrai.org/term/information-management-advisor/	Peter McQuilton	Person/Individual	CASRAI
http://fairsharing.org/fso/FSO_0011436	Information management specialist	A person who is expert in one or more of the information management disciplines that support the effective and efficient management of information.n/ahttp://www.tbs-sct.gc.ca/cioscripts/gloss/gloss-alpha_e.asp?SubjectID=128&who=/im-gi/	CASRAI. https://casrai.org/term/information-management-specialist/	Peter McQuilton	Person/Individual	CASRAI
