Category,ID,Label,Definition
FAIR evaluation of repositories for data deposition,T4FS:0000401,Choosing the appropriate model or format for your data,"To be able to choose the correct data model and/or exchange format for your data, based on the repository where you plan to deposit your data."
Exposing data,T4FS:0000183,Recognise and acknowledge contributions,"To clearly communicate the existence of contributions from different individuals / projects to the compilation of a given dataset, in such a way that can be consistently cited."
Exposing data,T4FS:0000247,Data publication,"The release of research data, associated metadata, accompanying documentation, and software code (in cases where the raw data have been processed or manipulated) for re-use and analysis in such a manner that they can be discovered on the Web and referred to in a unique and persistent way. Data publishing occurs via dedicated data repositories..."
Exposing data,T4FS:0000302,Data citation,Offers proper recognition to authors as well as permanent identification through the use of global persistent identifiers in place of URLs which can change frequently.
Exposing data,T4FS:0000315,Evaluation of how to publish your data,"To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate publishing platform for a dataset. This may, for example, involve discovering the mark-up of the platform, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRnessbased on human-entered questionnaires or FAIRsharing resource metadata."
Exposing data,T4FS:0000482,Data sharing,"The practice of making data available for reuse. This may be done, for example, by depositing the data in a repository, through data publication."
Exposing data,T4FS:0000492,Understanding persistent identifiers,
Understanding persistent identifiers,T4FS:0000343,Maintaining persistent identifiers,
Understanding persistent identifiers,T4FS:0000388,Using persistent identifiers,
Understanding persistent identifiers,T4FS:0000422,Creating persistent identifiers,
Data stewardship activity,T4FS:0000036,Curation,The activity of managing and promoting the use of data from their point of creation to ensure that they are fit for contemporary purpose and available for discovery and reuse.
Curation,T4FS:0000013,Data munging,"A series of potentially destructive or irrevocable changes to a piece of data or a file. Common munging operations include removing punctuation or html tags, data parsing, filtering, and transformation."
Curation,T4FS:0000018,Data categorisation,
Curation,T4FS:0000044,Data processing,A generic concept referring to all kinds of procedures being executed on data at any point in the data life cycle.
Curation,T4FS:0000065,Data modeling,"Data modeling formalizes and documents existing processes and events. It captures and translates complex system designs into easily understood representations of the data flows and processes, creating a blueprint for construction and/or re-engineering."
Curation,T4FS:0000070,Cataloguing,"An intellectual process of describing objects in accordance with accepted library principles, particularly those of subject and classification order."
Curation,T4FS:0000119,Disambiguation,The act of interpreting an author's intended use of a word that has multiple meanings or spellings.
Curation,T4FS:0000132,Data curation,"A managed process, throughout the data lifecycle, by which data &amp; data collections are cleansed, documented, standardized, formatted and inter-related. This includes versioning data, or forming a new collection from several data sources, annotating with metadata, adding codes to raw data (e.g., classifying a galaxy image with a galaxy type such as spiral)."
Curation,T4FS:0000238,Data validation,"Provides well-defined guarantees for fitness, accuracy, and consistency for any of various kinds of user input into an application or automated system. Data validation checks that data are valid, sensible, reasonable, clean, usable, and secure before they are processed. Failures or omissions in data validation can lead to data corruption, security vulnerability. Improperly validated data &hellip; <a href=CASRAI. https://casrai.org/term/data-validation/ class=more-link"
Curation,T4FS:0000245,Digitisation,"The process of creating digital files by scanning or otherwise converting analogue materials. The resulting digital copy, or digital surrogate, would then be classed as digital material and then subject to the same broad challenges involved in preserving access to it, as born digital materials."
Curation,T4FS:0000280,Data de-noising,Removing noise from data.
Curation,T4FS:0000291,Data wrangling,"The process of manually or semi-automatically converting or mapping data from one form into another format that allows for more convenient consumption of the data with the help of semi-automated tools. Gathering and organizing disparate data from different sources, often collected by many different investigators. Activities include developing and supporting search tools that utilize standardized &hellip; <a href=CASRAI. https://casrai.org/term/data-wrangling/ class=more-link"
Curation,T4FS:0000326,Data representation,"An object describing the context of the data, including provenance, description, structural, and administrative information."
Curation,T4FS:0000375,Data harmonization,In the context of epidemiology: Making data from different sources comparable. The processes involved in producing inferentially equivalent data.
Curation,T4FS:0000384,Data cleaning,A continuous process that requires corrective actions throughout the data lifecycle.
Curation,T4FS:0000487,Data integration,"Combining diverse datasets from disparate sources into one unified dataset or database. Data are accessed and extracted, moved, validated, cleaned, transformed and loaded."
Curation,T4FS:0000515,Data hygiene,The collective processes conducted to ensure the cleanliness of data. Data are considered clean when they are relatively error-free.
Curation,obo:TF4S_0000574,Metadata creation,"Metadata creation concerns the creation of data that provides information about characteristics, aspects or context of other data entities such as a dataset or other digital or analog object."
Data stewardship activity,T4FS:0000055,Data driven disaster,"A serious problem caused by one or more ineffective data analysis processes. In addition to the financial burden, problems with data quality and analysis can have a serious impact on security, compliance, project management and human resource management, among others."
Data stewardship activity,T4FS:0000076,Data discovery,The ability to find and comprehend data produced by people other than yourself.
Data discovery,T4FS:0000145,Search repositories and knowledge-bases,The ability to search repositories and knowledge-bases.
Search repositories and knowledge-bases,T4FS:0000048,Searching via algorithms and software,To be able to search using software with a GUI or terminal access. For example using BLAST or genomic search tools in the life sciences.
Search repositories and knowledge-bases,T4FS:0000067,Use of aggregator sites,To be able to search and understand the results from dataset aggregrator sites. To understand the implications of the provenance of the data and how to integrate and analyse data with differing metadata.
Data discovery,T4FS:0000300,Metadata search via metadata providers,"To be able to identify and process metadata over the internet, sourced from a variety of metadata providers and schemata."
Data stewardship activity,T4FS:0000086,Integrity,"In the context of data and network security: The assurance that information can only be accessed or modified by those authorized to do so. Measures taken to ensure integrity include controlling the physical environment of networked terminals and servers, restricting access to data, and maintaining rigorous authentication practices. Data integrity can also be threatened by environmental hazards, such as heat, dust, and electrical surges."
Data stewardship activity,T4FS:0000087,Digital scholarship,"Incorporates: building a digital collection of information for further study and analysis; creating appropriate tools for collection- building; creating appropriate tools for the analysis and study of collections; using digital collections and analytical tools to generate new intellectual products; and, Creating authoring tools for these new intellectual products, either in traditional forms or in digital form."
Data stewardship activity,T4FS:0000107,Information security,
Information security,T4FS:0000057,Data splitting,"An approach to protecting sensitive data from unauthorized access by encrypting the data and storing different portions of a file on different servers. An unauthorized person would need to know the locations of the servers containing the parts, be able to get access to each server, know what data to combine, and how to decrypt it. Data splitting can be made even more effective by periodically retrieving and recombining the parts, and then splitting the data in a different way among different servers, and using a different encryption key."
Information security,T4FS:0000058,Manage access,Monitor the status of information access of different stakeholder groups. Evaluate new access request and authorize or decline it. Update the organizational information access overview.
Information security,T4FS:0000116,Define access policy,"Understand the needs and conditions of information access for different stakeholder groups. Identify the responsibility and rights for each stakeholder group on informaiton access. Build up a catalogue of risk profiles. For each risk profile, develope mitigation protocols."
Information security,T4FS:0000124,Understand information security challenges,"Know the security requirements on the organization regarding different types of information Know the current organizational policy, infrastructure and capacity on information security."
Information security,T4FS:0000161,Data destruction,"The process of destroying data stored on tapes, hard disks and other forms of electronic media so that it is completely unreadable and cannot be accessed or used."
Information security,T4FS:0000209,Access risk assessment and mitigation,"Obtain an overview of information access status for different stakeholder groups. Check this overview against the organizational information access policy and risk catalogue, identify the type of information security risks based on the mismatch between the current status and policy. Choose and implement the right protocal to mitigate the risk."
Information security,T4FS:0000270,Authentication,The process of confirming the identity of a principal entity.
Information security,T4FS:0000331,Information governance,"Information governance, is the overall strategy for information at an organization. Information governance balances the risk that information presents with the value that information provides. Information governance helps with legal compliance, operational transparency, and reducing expenditures associated with legal discovery."
Information security,T4FS:0000380,Appreciate security and usability trade-offs,Be aware of the potential conflicts between security and usability. Understand the importance of having information security policy and keeping a balance between the information security and usability. Willing to establish both organization and technical information security measurements.
Information security,T4FS:0000414,De-identification,"1. The act of minimally perturbing individual-level data to decrease the probability of discovering an individualís identity. It involves masking direct identifiers (e.g., name, phone number, address) as well as transforming indirect identifiers that could be used alone or in combination to-identify an individual (e.g., birth dates, geographic details, dates of key events). If done correctly, de-identification is a defensible, repeatable, and auditable process that consistently provides assurance, based on generally accepted and repeatable statistical methodologies, that there is a very small risk of re-identification of any data that are released. 2. The use of one or more techniques designed to make it impossible — or at least more difficult — to identify a particular individual from stored data related to them. The purpose of data anonymization is to protect the privacy of the individual and to make it legal for governments and businesses to share their data without obtaining permission. Such data have proven to be very valuable for researchers, particularly in health care. Data anonymization methods include removing personally identifiable information (e.g., names, addresses, social insurance numbers, Medicare numbers, etc.), or using obfuscation methods such as encryption, hashing, generalization, pseudonymization, and perturbation."
Information security,T4FS:0000470,Storage security management,"Manage the assessment, implementation and monitoring of secure storage protocols."
Storage security management,T4FS:0000027,Storage security risk assessment and mitigation,"Detect and analysis security risk of storage periodically, and minimize the impact of the risks detected"
Storage security management,T4FS:0000212,Implement secure storage,Configure secure storage and monitor its usage
Storage security management,T4FS:0000223,Understand storage security challanges,"Understand the current storage security status and the preferred status, as well as the barriers between them."
Information security,T4FS:0000501,De-anonymization,"De-anonymization is a reverse engineering process in which de-identified data are cross-referenced with other data sources to re-identify the personally identifiable information. This could occur if a de-identification process had not been not successfully performed, or had not been undertaken in the first place."
Data stewardship activity,T4FS:0000126,Assessment,
Assessment,T4FS:0000049,Audit,"An independent evaluation of an organization, system, process, project or product."
Assessment,T4FS:0000112,Interface testing,Testing conducted to evaluate whether systems or components pass data and control correctly to each other.
Assessment,T4FS:0000153,Quality assessment,
Assessment,T4FS:0000225,Evaluation,"Evaluation is a decision about significance, value, or quality of something, based on careful study of its good and bad features."
Assessment,T4FS:0000252,FAIRness assessment,Ability to apply knowledge about FAIR metrics and assessing FAIRness using FAIR assessment tools.
FAIRness assessment,T4FS:0000031,FAIR Metrics selection skills,Ability to select the appropriate FAIR metrics among the existing ones in relation to the type of digital object concerned.
Assessment,T4FS:0000288,Assess FAIRness,Activity/Process whereby digital objects are evaluated with the relevant FAIR metrics and assessment tools.
Assessment,T4FS:0000498,Peer review,A process by which a scholarly work (such as a paper or a research proposal) is checked by a group of experts in the same field to make sure it meets the necessary standards before it is published or accepted.
Assessment,T4FS:0000525,"Research integrity, attribution, impact awareness",
"Research integrity, attribution, impact awareness",T4FS:0000010,Understand research code of conduct,Understand how the governing principles of research integrity and FAIR overlap
"Research integrity, attribution, impact awareness",T4FS:0000047,Understand societal impact of research,"Anticipate possible implications of the research and making its outputs FAIR, reflecting on rmotivations and areas of uncertainty"
"Research integrity, attribution, impact awareness",T4FS:0000071,Design and apply processes for attribution,Iniitate and develop processes for crediting the contributions of researchers and professional groups towards making FAIR outputs
"Research integrity, attribution, impact awareness",T4FS:0000216,Design processes for research integrity,"Initiate and develop processes to ensure outputs are made FAIR consistently with research integrity principles, and with ethical oversight."
"Research integrity, attribution, impact awareness",T4FS:0000240,Appreciate importance of research integrity,Take proactive approach to ensure outputs are made FAIR consistently with research integrity principles.
"Research integrity, attribution, impact awareness",T4FS:0000439,Stakeholder engagement on societal impact,"Identify and engage in dialogue with stakeholders affected by the research, or by making its outputs FAIR."
"Research integrity, attribution, impact awareness",T4FS:0000483,Appreciate importance of crediting research contributions,Understand how the rewards for effort depend on crediting the contributions of researchers and professional groups towards making FAIR outputs.
Data stewardship activity,T4FS:0000156,Archiving,"A curation activity that ensures that data are properly selected, stored, and can be accessed, and for which logical and physical integrity are maintained over time, including security and authenticity."
Archiving,T4FS:0000004,Software preservation,Software preservation involves the collection and long-term storage of software for archiving as well as maintaining availability and accessibility.
Archiving,T4FS:0000017,Preservation,An activity within archiving in which specific items of data are maintained over time so that they can still be accessed and understood through changes in technology.
Preservation,T4FS:0000328,Long-term preservation,"Long-term preservation - Continued access to digital materials, or at least to the information contained in them, indefinitely."
Preservation,T4FS:0000339,Medium-term preservation,Medium-term preservation - Continued access to digital materials beyond changes in technology for a defined period of time but not indefinitely.
Archiving,T4FS:0000046,Data rescue,"Recovery and/or transformation and digitization of dark data and at-risk data so that they can be preserved, accessed, shared, and used. Data rescue also involves the addition of rich metadata to make the content understandable and more easily re-usable."
Archiving,T4FS:0000173,Data recovery,"The process of restoring data that have been lost, accidentally deleted, corrupted or made inaccessible for any reason. The data recovery process may vary, depending on the circumstances of the data loss, the data recovery software used to create backups, and backup target media. In some cases, end users may be able to restore lost..."
Archiving,T4FS:0000214,Format and media migration,
Archiving,T4FS:0000374,Archival documentation of software,"Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry [YLF, VDA, KH]"
Archiving,T4FS:0000534,Data archiving,
Data archiving,T4FS:0000194,Self-archiving,"Prepare the data in preferred types and the data documentation. Choose the data repository and data license, deposit the data in the repository."
Archiving,T4FS:0000537,Digital archiving,1. In the context of library and archiving communities: Digital archiving is often used interchangeably with digital preservation. 2. In the context of computing: Digital archiving is process of backup and ongoing maintenance as opposed to strategies for long-term digital preservation.
Archiving,T4FS:0000550,Archival documentation of data,"Ability to apply the FAIR principles i.e. describe the data with community metadata standard for machine and human, align with existing semantic models (ontologies, controlled vocabularies, ...), get a persistent ID, attribute licence and credit for data creators, legal aspect related to data (ownership, confidentiality, ethics, ...) add data provenance."
Data stewardship activity,T4FS:0000158,User acceptance testing,A phase of development where the product is tested in the real world by the intended audience. The experiences of the early users are forwarded back to the developers who make final changes before releasing the product.
Data stewardship activity,T4FS:0000190,Research data publication workflow,"Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web. In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows can involve both humans and machines and often humans are supported by technology as they perform steps in the workflow. Similar workflows may vary in the details depending on the research discipline, data publishing product and/or the host institution of the workflow (e.g., individual publisher/journal, institutional repository, discipline-specific repository)."
Data stewardship activity,T4FS:0000231,Data acquisition,"The process of acquiring data from some source. For example, data may be acquired by download from a repository, transfer from a data logger, data capture, etc."
Data acquisition,T4FS:0000074,Data selection,"A process that creates a new dataset from an original source. Examples include: creating a subset of the data,querying a database."
Data acquisition,T4FS:0000108,Data production,"Includes all activities involved in the planning, collecting, processing, analysis and maintenance of data in the original research project. Among these activities are selecting a study design, constructing instruments for data collection, conducting data collection/creation, performing data editing/verification/validation, analyzing data, backing up data versions and preparing and tagging metadata."
Data acquisition,T4FS:0000290,Data ingestion,"The process of obtaining, importing, and processing data for later use or storage in a database. This process often involves altering individual files by editing their content and/or formatting them to fit into a larger document."
Data stewardship activity,T4FS:0000257,Integrated access management,"A combination of business processes, policies and technologies that allows organizations to provide secure access to confidential data. Integrated access management software is used by enterprises to control the flow of sensitive data in and out of the network."
Data stewardship activity,T4FS:0000259,FAIR training,"Activities in and around the provision of training, mentorship and teaching opportunities for good data management and the implementation of FAIR practices."
FAIR training,T4FS:0000029,FAIR stewardship supervising,The activity of supervision of other people to ensure FAIR data practices.
FAIR training,T4FS:0000162,FAIR stewardship training,The provision of training materials and events in and around good data stewardship.
FAIR training,T4FS:0000293,Flexibility in relating FAIR criteria to openness,"Appreciate the need for flexibility in applying FAIR criteria to make data as open as possible, as closed as necessary."
FAIR training,T4FS:0000296,Knowledge to contextualise FAIR principles to domain,Know how data handling practices in the domain make FAIR criteria more or less easy to implement.
FAIR training,T4FS:0000341,Knowledge to relate FAIR data assessment to research community norms,Know how the acceptability of research data FAIRness depends on the research community norms e.g. concepts of data and methods for deriving valid knowledge.
FAIR training,T4FS:0000367,Knowledge to choose FAIR data handling approaches appropriate to the research phenomena,"Select data handling approaches likely to make data as FAIR as possible, considering what the data is about and its purpose in the research."
FAIR training,T4FS:0000457,FAIR Mentoring,The act of mentoring around FAIR data stewardship.
FAIR training,T4FS:0000490,Knowledge of theories underlying FAIR implementation,Understand the concepts underpinning FAIR criteria.
FAIR training,T4FS:0000508,Using FAIR and open research tools or services,
Using FAIR and open research tools or services,T4FS:0000408,Aptitudes associated with using fair tools and services,
Aptitudes associated with using fair tools and services,T4FS:0000399,Ability to learn new techniques for fair implementation,Demonstrate willingness to engage with new ways of applying FAIR principles.
Ability to learn new techniques for fair implementation,T4FS:0000129,Ability to solve fair implementation problems collaboratively,Demonstrate ability to involve others and share responsibility for applying FAIR principles.
Using FAIR and open research tools or services,T4FS:0000481,The use of FAIR and open research tools or services,Understand how to use FAIR and open research tools and services.
The use of FAIR and open research tools or services,T4FS:0000136,How to make your data reuseable,"Understand what reuse is permitted according to the licenses or terms and conditions applicable to services, tools and their content."
The use of FAIR and open research tools or services,T4FS:0000495,How to find FAIR research data tools/services (catalogues),Know how to search for and identify FAIR services or tools that fit project needs.
Using FAIR and open research tools or services,T4FS:0000502,Application of fair tools and services,
Data stewardship activity,T4FS:0000307,Innovation,"In the context of a researcher's activities, innovation is the development of modified or novel approaches, theories, concepts, ideas or solutions. Innovation is one of four valued outcomes."
Data stewardship activity,T4FS:0000314,Managing research,"In the context of a researcher’s activities, Managing research is the processes related to the planning, organizing, setting objectives, controlling and evaluating of RDA activities and their associated human and financial resources. It includes the provision of leadership to, and assessment of, other scientists, engineers, technologists, and/or other staff. Managing research is one of the three research contexts in which a researcher is expected to conduct his/her activities. Managing research is distinct from the position-based role of a research manager."
Data stewardship activity,T4FS:0000320,Project management activities,"The practice of initiating, planning, executing, controlling, and closing the work of a team in relation to FAIR data stewardship."
Project management activities,T4FS:0000060,Tactical/short-term planning,
Project management activities,T4FS:0000079,Conducting operations,
Project management activities,T4FS:0000229,Logistical support,
Project management activities,T4FS:0000249,Community building,
Project management activities,T4FS:0000465,Meeting/conference organisation,Meeting/conference organisation is a project management activity that encompasses all of the steps required to run a meeting or conference.
Project management activities,T4FS:0000514,Strategic/long-term planning,"An organization's process of defining its strategy or direction in the context of FAIR project management activities, both in the context of current knowledge and unknown factors in the future."
Strategic/long-term planning,T4FS:0000008,Develop open research strategy and vision,The activity of developing an open research strategy and vision.
Develop open research strategy and vision,T4FS:0000006,Develop FAIR and open research vision,Include FAIR and open research in the strategic framework for the organization and set objectives and timeframe.
Develop open research strategy and vision,T4FS:0000041,Understanding FAIR and open research challenges in your organization,"Understand the FAIR and open research practices, and the research landscape / current data management practices in the organization."
Develop open research strategy and vision,T4FS:0000285,Develop FAIR and open research strategy,"Find the people with a good understand of FAIR and open research challenges in your organiation, and create a work agenda."
Develop open research strategy and vision,T4FS:0000398,Appreciation of FAIR and open research,"Recognize the added value of FAIR and open research, encourage researchers to practise FAIR and open research."
Data stewardship activity,T4FS:0000330,Data residency,"The physical or geographic location of an organization's data or information. Data residency also refers to the legal or regulatory requirements imposed on data based on the country or region in which it resides. Cloud computing, which allows organizations to deliver hosted services over the Internet, can create data residency concerns."
Data stewardship activity,T4FS:0000352,Data analysis,A data lifecycle stage that involves the techniques that produce synthesized knowledge from organized information.
Data analysis,T4FS:0000069,Data transformation,Manipulation of raw data to produce a single output.
Data analysis,T4FS:0000354,Data exploration,Data exploration involves summarizing the main characteristics of a dataset using visualization and should be the first step in data analysis.
Data analysis,T4FS:0000406,Data review,"An activity through which the correctness conditions of the data are verified. It also includes the specification of the type of the error or condition not met, and the qualification of the data and its division into the error-free and erroneous data. Data review consists of both error detection and data analysis, and can be carried out in manual or automated mode."
Data analysis,T4FS:0000418,Data dredging,"A data mining practice in which large volumes of data are analyzed seeking any possible relationships between data. The traditional scientific method, in contrast, begins with a hypothesis and follows with an examination of the data."
Data analysis,T4FS:0000516,Data profiling,"The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic. The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies. The insight gained by data profiling can be used to determine how difficult it will be to use existing data for other purposes. It can also be used to provide metrics to assess data quality and help determine whether or not metadata accurately describes the source data. Profiling tools evaluate the actual content, structure and quality of the data by exploring relationships that exist between value collections both within and across datasets. For example, by examining the frequency distribution of different values for each column in a table, an analyst can gain insight into the type and use of each column. Cross-column analysis can be used to expose embedded value dependencies and inter-table analysis allows the analyst to discover overlapping value sets that represent foreign key relationships between entities."
Data analysis,T4FS:0000522,Data scaling,Techniques used to deal with parameters having different units and scales.
Data analysis,T4FS:0000533,Data mining,"The process of analyzing multivariate datasets using pattern recognition or other knowledge discovery techniques to identify potentially unknown and potentially meaningful data content, relationships, classification, or trends."
Data stewardship activity,T4FS:0000353,Resource management,"Resource management is the efficient and effective development of an organization's resources when they are needed. Such resources may include the financial resources, inventory, human skills, production resources, or information technology (IT) and natural resources."
Resource management,T4FS:0000016,Skills for resource management,Bin for Skills related to Resource management
Resource management,T4FS:0000053,Storage management,"The term storage management encompasses the technologies and processes organizations use to maximize or improve the performance of their data storage resources. It is a broad category that includes  virtualization, replication, mirroring, security, compression, traffic analysis, process automation, storage provisioning and related techniques."
Storage management,T4FS:0000091,Knowledge of storage management,Bin for types of Knowledge related to Storage management.
Storage management,T4FS:0000355,Aptitudes for storage management,Bin for Aptitudes related to Storage management.
Storage management,T4FS:0000541,Skills related to storage management,Bin for Skills needed for Storage management.
Resource management,T4FS:0000068,Manage metadata catalog,"Implement the policies that govern the choice of metadata schema, reserved vocabularies, metadata organization in tables, and metadata properties (creation date, access control, ownership, etc.)."
Resource management,T4FS:0000088,A knowledge for resource management,Bin for types of Knowledge related to Resource management
Resource management,T4FS:0000089,Aptitudes for resource management,Bin for Aptitudes related to Resource management.
Resource management,T4FS:0000104,Preservation costs management,"Planning for and controlling the present and future costs of the conservation of data, including technical storage, fixed costs, and staff resources."
Preservation costs management,T4FS:0000157,Knowledge of preservation costs management,Bin for types of Knowledge related to Preservation costs management.
Preservation costs management,T4FS:0000180,Skills related to preservation costs management,Bin for Skills needed for Preservation costs management.
Preservation costs management,T4FS:0000477,Aptitudes for preservation costs management,Bin for Aptitudes related to Preservation costs management.
Resource management,T4FS:0000141,Data management,"The activities of data policies, data planning, data element standardization, information management control, data synchronization, data sharing, and database development, including practices and projects that acquire, control, protect, deliver and enhance the value of data and information."
Data management,T4FS:0000151,Database administration,"The function of managing the physical aspects of data resources, including database design and integrity, backup and recovery, performance and tuning."
Data management,T4FS:0000278,Manage datasets in a repository,"Implement the policies that govern the arrangement, naming, descriptive metadata, provenance metadata, representation metadata, administrative metadata, access controls, retention, disposition, integrity, and replication of digital objects."
Data management,T4FS:0000297,Research data management,"Data Management refers to the storage, access and preservation of data produced from a given investigation. Data management practices cover the entire lifecycle of the data, from planning the investigation to conducting it, and from backing up data as it is created and used to long term preservation of data deliverables after the research investigation has concluded. Specific activities and issues that fall within the category of data management include: File naming (the proper way to name computer files); data quality control and quality assurance; data access; data documentation (including levels of uncertainty); metadata creation and controlled vocabularies; data storage; data archiving and preservation; data sharing and reuse; data integrity; data security; data privacy; data rights; notebook protocols (lab or field)."
Data management,T4FS:0000383,Data migration,"The process of transferring data between storage types, formats, information technologies, or computer systems. A data migration project is usually undertaken to replace or upgrade servers or storage equipment, for a website consolidation, to conduct server maintenance or to relocate a data center."
Data management,T4FS:0000392,Data reduction,"The process of reducing the amount or size of stored data. This may be achieved by eliminating redundant copies of data files, deduplicating data files by removing redundant records, or by compressing the data files."
Resource management,T4FS:0000142,Authorisation management,"Authorization management is concerned with people's access to different objects, most often to data or physical objects, such as land, buildings, rooms or infrastructure."
Authorisation management,T4FS:0000051,Skills related to authorisation management,Bin for Skills needed for Authorization management.
Authorisation management,T4FS:0000125,Aptitudes for authorisation management,Bin for Aptitudes related to Authorization management.
Authorisation management,T4FS:0000143,Knowledge of authorisation management,Bin for types of Knowledge related to Authorization management.
Resource management,T4FS:0000169,Identity management,"Identity Management (IdM), also called Identity and Access Management (IAM) refers to a framework of policies and technologies for ensuring that the proper  user in an organisation has the appropriate access to technology resources  systems fall under the overarching umbrella of IT security.  IdM systems not only identify, but authenticate and authorize individuals  who will be using IT resources, but also the hardware and applications users need to access."
Identity management,T4FS:0000123,Aptitudes for identity management,Bin for Aptitudes related to Identity management.
Identity management,T4FS:0000152,Knowledge of identity management,Bin for types of Knowledge related to Identity management
Identity management,T4FS:0000387,Skills related to identity management,Bin for Skills needed for Identity management.
Resource management,T4FS:0000177,Workflow technologies management,The process of setting up environments for workflow technologies.
Workflow technologies management,T4FS:0000023,Aptitudes for workflow technologies management,Bin for Aptitudes related to Workflow technologies management.
Workflow technologies management,T4FS:0000206,Knowledge of workflow technologies management,Bin for types of Knowledge related to Workflow technologies management.
Workflow technologies management,T4FS:0000357,Skills related to workflow technologies management,Bin for Skills needed for Workflow technologies management.
Resource management,T4FS:0000232,Data management costs management,"Planning for and controlling expenditures related to the data management lifecycle, including, but not limited to, labor and infrastructure expenses for data collection; data documentation; data storage; data access and security; data preservation; data sharing; and data disposition."
Data management costs management,T4FS:0000228,Knowledge of data management costs management,Bin for types of Knowledge needed for Data management costs management.
Data management costs management,T4FS:0000230,Aptitudes for data management costs management,Bin for Aptitudes related to Data management costs management.
Data management costs management,T4FS:0000359,Skills related to data management cost management,Bin for Skills needed for Data management cost management.
Resource management,T4FS:0000308,High performance computing management,High-performance computing (HPC) is a process for using of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems by incorporating both administration and parallel computational techniques.
